location,original_col_name,new_col_name,full_metadata,basic_metadata,data_type,original_units,new_units,field_description
buildstock.csv,airtightness,in.airtightness,TRUE,FALSE,float,m3_per_m2_h,m3_per_m2_h,6-sided air leakage rate at 75 Pa
buildstock.csv,american_housing_survey_region,in.american_housing_survey_region,FALSE,FALSE,string,,,
buildstock.csv,aspect_ratio,,FALSE,FALSE,,,,
buildstock.csv,baseline_window_type,,FALSE,FALSE,,,,
buildstock.csv,baseline_hvac_sizing,,FALSE,FALSE,,,,
buildstock.csv,building_shape,,FALSE,FALSE,,,,
buildstock.csv,building_subtype,,FALSE,FALSE,,,,
buildstock.csv,building_type,,FALSE,FALSE,,,,
buildstock.csv,census_division_name,in.as_simulated_census_division_name,TRUE,FALSE,string,,,Census division name
buildstock.csv,census_division_name_recs,in.census_division_name_recs,FALSE,FALSE,string,,,
buildstock.csv,census_region_name,in.census_region_name,TRUE,FALSE,string,,,Census region name
buildstock.csv,climate_zone,,FALSE,FALSE,,,,
buildstock.csv,climate_zone_ashrae_2006,in.as_simulated_ashrae_iecc_climate_zone_2006,TRUE,TRUE,string,,,ASHRAE Standard 169 - 2006 Climate Zone
buildstock.csv,climate_zone_building_america,in.building_america_climate_zone,TRUE,TRUE,string,,,DOE Building America climate zone
buildstock.csv,county_id,,FALSE,FALSE,,,,
buildstock.csv,cluster_id,in.cluster_id,TRUE,TRUE,integer,,,The identified for the geographic cluster ComStock uses to group together areas with similar building stocks
buildstock.csv,cluster_name,in.cluster_name,TRUE,TRUE,string,,,The name for the geographic cluster ComStock uses to group together areas with similar building stocks
buildstock.csv,energy_code_compliance_during_original_building_construction,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_exterior_lighting,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_hvac,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_interior_equipment,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_interior_lighting,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_roof,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_service_water_heating,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_walls,,FALSE,FALSE,,,,
buildstock.csv,energy_code_compliance_windows,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_exterior_lighting_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_hvac_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_interior_equipment_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_interior_lighting_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_roof_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_service_water_heating_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_walls_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_last_windows_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_followed_during_original_building_construction,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_exterior_lighting_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_hvac_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_interior_equipment_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_interior_lighting_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_roof_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_service_water_heating_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_walls_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_last_windows_replacement,,FALSE,FALSE,,,,
buildstock.csv,energy_code_in_force_during_original_building_construction,,FALSE,FALSE,,,,
buildstock.csv,fault_economizer_damper_fully_closed,,FALSE,FALSE,,,,
buildstock.csv,fault_economizer_db_limit,,FALSE,FALSE,,,,
buildstock.csv,heating_fuel,,FALSE,FALSE,,,,
buildstock.csv,hvac_night_variability,,FALSE,FALSE,,,,
buildstock.csv,hvac_system_type,,FALSE,FALSE,,,,
buildstock.csv,hvac_tst_clg_delta_f,,FALSE,FALSE,,,,
buildstock.csv,hvac_tst_clg_sp_f,,FALSE,FALSE,,,,
buildstock.csv,hvac_tst_htg_delta_f,,FALSE,FALSE,,,,
buildstock.csv,hvac_tst_htg_sp_f,,FALSE,FALSE,,,,
buildstock.csv,iso_region,in.iso_rto_region,TRUE,FALSE,string,,,Electric system ISO/RTO region
buildstock.csv,ltg_sch_base_peak_ratio_type,,FALSE,FALSE,,,,
buildstock.csv,ltg_sch_weekday_base_peak_ratio,,FALSE,FALSE,,,,
buildstock.csv,ltg_sch_weekend_base_peak_ratio,,FALSE,FALSE,,,,
buildstock.csv,nhgis_county_gisjoin,in.as_simulated_nhgis_county_gisjoin,TRUE,TRUE,string,,,"County identifier for where the model was simulated, according to format of https://www.nhgis.org/geographic-crosswalks#details"
buildstock.csv,nhgis_puma_gisjoin,in.as_simulated_nhgis_puma_gisjoin,TRUE,TRUE,string,,,"Census PUMA identifier for where the model was simulated, according to format of https://www.nhgis.org/geographic-crosswalks#details"
buildstock.csv,nhgis_tract_gisjoin,in.as_simulated_nhgis_tract_gisjoin,TRUE,TRUE,string,,,"Census tract identifier for where the model was simulated, according to format of https://www.nhgis.org/geographic-crosswalks#details"
buildstock.csv,number_stories,,FALSE,FALSE,,,,
buildstock.csv,ownership_status,in.ownership_type,TRUE,FALSE,string,,,Type of organization or legal entity that owns the building
buildstock.csv,party_responsible_for_operation,in.party_responsible_for_operation,TRUE,FALSE,string,,,Who is responsible for the operation of the energy systems in the building
buildstock.csv,plugload_sch_base_peak_ratio_type,,FALSE,FALSE,,,,
buildstock.csv,plugload_sch_weekday_base_peak_ratio,,FALSE,FALSE,,,,
buildstock.csv,plugload_sch_weekend_base_peak_ratio,,FALSE,FALSE,,,,
buildstock.csv,purchase_input_responsibility,in.purchase_input_responsibility,TRUE,FALSE,string,,,Who has the most direct input on decisions regarding pruchases of energy-related equipment
buildstock.csv,reeds_balancing_area,in.reeds_balancing_area,TRUE,FALSE,string,,,Balancing area ID for the NREL ReEDS modeling tool
buildstock.csv,region,,FALSE,FALSE,,,,
buildstock.csv,rentable_area,,FALSE,FALSE,,,,
buildstock.csv,resstock_county_id,in.county_name,TRUE,TRUE,string,,,State abbreviation and county name
buildstock.csv,resstock_custom_region,in.resstock_custom_region,FALSE,FALSE,string,,,
buildstock.csv,resstock_puma_id,in.resstock_puma_id,FALSE,FALSE,string,,,State abbreviation and PUMA identifier
buildstock.csv,rotation,,FALSE,FALSE,,,,
buildstock.csv,sample_building_id,,FALSE,FALSE,,,,
buildstock.csv,service_water_heating_fuel,,FALSE,FALSE,,,,
buildstock.csv,state_abbreviation,in.state,TRUE,TRUE,string,,,Postal abbreviation of state
buildstock.csv,state_id,,FALSE,FALSE,,,,
buildstock.csv,sampling_region,in.sampling_region_id,TRUE,FALSE,integer,,,Region assigned through the sampling process
buildstock.csv,size_bin,in.size_bin_id,TRUE,FALSE,integer,,,Size bin assigned through the sampling process - this is a function of building type
buildstock.csv,state_name,in.as_simulated_state_name,TRUE,TRUE,string,,,Full name of state where the model was simulated
buildstock.csv,weather_file_2018,in.as_simulated_weather_file_2018,TRUE,FALSE,string,,,Weather file used for the 2018 AMY simulations based on where the model was simulated
buildstock.csv,weather_file_TMY3,in.as_simulated_weather_file_tmy3,TRUE,FALSE,string,,,Weather file used for the TMY3 simulations based on where the model was simulated
buildstock.csv,weekday_duration,,FALSE,FALSE,,,,
buildstock.csv,weekday_start_time,,FALSE,FALSE,,,,
buildstock.csv,weekend_duration,,FALSE,FALSE,,,,
buildstock.csv,weekend_start_time,,FALSE,FALSE,,,,
buildstock.csv,window_wall_ratio,in.window_to_wall_ratio_category,TRUE,FALSE,string,,,The bin describing the building's window-to-wall ratio
buildstock.csv,year_bin_of_last_exterior_lighting_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_hvac_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_interior_equipment_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_interior_lighting_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_roof_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_service_water_heating_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_walls_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_last_windows_replacement,,FALSE,FALSE,,,,
buildstock.csv,year_bin_of_original_building_construction,,FALSE,FALSE,,,,
buildstock.csv,year_built,in.year_built,TRUE,TRUE,string,,,Year of original building construction
buildstock.csv,year_of_simulation,,FALSE,FALSE,,,,
geospatial,nhgis_county_gisjoin,in.nhgis_county_gisjoin,TRUE,TRUE,string,,,"County identifier where the model is located, according to format of https://www.nhgis.org/geographic-crosswalks#details"
geospatial,nhgis_puma_gisjoin,in.nhgis_puma_gisjoin,TRUE,TRUE,string,,,"Census PUMA identifier where the model is located, according to format of https://www.nhgis.org/geographic-crosswalks#details"
geospatial,nhgis_tract_gisjoin,in.nhgis_tract_gisjoin,TRUE,TRUE,string,,,"Census tract identifier where the model is located, according to format of https://www.nhgis.org/geographic-crosswalks#details"
geospatial,nhgis_state_gisjoin,in.nhgis_state_gisjoin,TRUE,TRUE,string,,,"State tract identifier where the model is located, according to format of https://www.nhgis.org/geographic-crosswalks#details"
geospatial,state_name,in.state_name,TRUE,TRUE,string,,,Full name of state
geospatial,state_abbreviation,in.state,TRUE,TRUE,string,,,Postal abbreviation of state
geospatial,census_division_name,in.census_division_name,TRUE,FALSE,string,,,Census division name
geospatial,census_division_name_recs,in.census_division_name_recs,FALSE,FALSE,string,,,
geospatial,census_region_name,in.census_region_name,TRUE,FALSE,string,,,Census region name
geospatial,climate_zone,,FALSE,FALSE,,,,
geospatial,climate_zone_ashrae_2006,in.ashrae_iecc_climate_zone_2006,TRUE,TRUE,string,,,ASHRAE Standard 169 - 2006 Climate Zone
geospatial,climate_zone_building_america,in.building_america_climate_zone,TRUE,TRUE,string,,,DOE Building America climate zone
geospatial,county_id,,FALSE,FALSE,,,,
geospatial,cluster_id,in.cluster_id,TRUE,TRUE,integer,,,The identified for the geographic cluster ComStock uses to group together areas with similar building stocks
geospatial,cluster_name,in.cluster_name,TRUE,TRUE,string,,,The name for the geographic cluster ComStock uses to group together areas with similar building stocks
geospatial,american_housing_survey_region,in.american_housing_survey_region,FALSE,FALSE,string,,,
