Twb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Tot Clg Cap [W]
282.8166667,280.3722222,1.510231821,0.001230259,29722.85295
282.8166667,280.3722222,1.510231821,0.001514165,29885.01972
282.8166667,280.3722222,1.510231821,0.001703435,29931.35309
282.8166667,280.3722222,1.510231821,0.001892706,30000.85313
282.8166667,280.3722222,1.510231821,0.001987341,30000.85313
282.8166667,280.3722222,1.510231821,0.002081976,30024.01981
282.8166667,280.3722222,1.510231821,0.002271247,30047.1865
282.8166667,280.3722222,1.604621309,0.001230259,30031.1813
282.8166667,280.3722222,1.604621309,0.001514165,30195.0303
282.8166667,280.3722222,1.604621309,0.001703435,30241.8443
282.8166667,280.3722222,1.604621309,0.001892706,30312.0653
282.8166667,280.3722222,1.604621309,0.001987341,30312.0653
282.8166667,280.3722222,1.604621309,0.002081976,30335.4723
282.8166667,280.3722222,1.604621309,0.002271247,30358.8793
282.8166667,280.3722222,1.699010798,0.001230259,30339.50965
282.8166667,280.3722222,1.699010798,0.001514165,30505.04088
282.8166667,280.3722222,1.699010798,0.001703435,30552.33551
282.8166667,280.3722222,1.699010798,0.001892706,30623.27747
282.8166667,280.3722222,1.699010798,0.001987341,30623.27747
282.8166667,280.3722222,1.699010798,0.002081976,30646.92479
282.8166667,280.3722222,1.699010798,0.002271247,30670.57211
282.8166667,280.3722222,1.793400287,0.001230259,30586.17233
282.8166667,280.3722222,1.793400287,0.001514165,30753.04934
282.8166667,280.3722222,1.793400287,0.001703435,30800.72849
282.8166667,280.3722222,1.793400287,0.001892706,30872.24721
282.8166667,280.3722222,1.793400287,0.001987341,30872.24721
282.8166667,280.3722222,1.793400287,0.002081976,30896.08678
282.8166667,280.3722222,1.793400287,0.002271247,30919.92635
282.8166667,280.3722222,1.887789776,0.001230259,30832.83501
282.8166667,280.3722222,1.887789776,0.001514165,31001.0578
282.8166667,280.3722222,1.887789776,0.001703435,31049.12146
282.8166667,280.3722222,1.887789776,0.001892706,31121.21694
282.8166667,280.3722222,1.887789776,0.001987341,31121.21694
282.8166667,280.3722222,1.887789776,0.002081976,31145.24877
282.8166667,280.3722222,1.887789776,0.002271247,31169.2806
282.8166667,280.3722222,2.076568753,0.001230259,31264.4947
282.8166667,280.3722222,2.076568753,0.001514165,31435.07261
282.8166667,280.3722222,2.076568753,0.001703435,31483.80916
282.8166667,280.3722222,2.076568753,0.001892706,31556.91398
282.8166667,280.3722222,2.076568753,0.001987341,31556.91398
282.8166667,280.3722222,2.076568753,0.002081976,31581.28225
282.8166667,280.3722222,2.076568753,0.002271247,31605.65053
282.8166667,280.3722222,2.170958242,0.001230259,31449.49171
282.8166667,280.3722222,2.170958242,0.001514165,31621.07896
282.8166667,280.3722222,2.170958242,0.001703435,31670.10389
282.8166667,280.3722222,2.170958242,0.001892706,31743.64128
282.8166667,280.3722222,2.170958242,0.001987341,31743.64128
282.8166667,280.3722222,2.170958242,0.002081976,31768.15374
282.8166667,280.3722222,2.170958242,0.002271247,31792.66621
282.8166667,280.3722222,2.265347731,0.001230259,31634.48872
282.8166667,280.3722222,2.265347731,0.001514165,31807.08531
282.8166667,280.3722222,2.265347731,0.001703435,31856.39862
282.8166667,280.3722222,2.265347731,0.001892706,31930.36858
282.8166667,280.3722222,2.265347731,0.001987341,31930.36858
282.8166667,280.3722222,2.265347731,0.002081976,31955.02524
282.8166667,280.3722222,2.265347731,0.002271247,31979.68189
282.8166667,285.9277778,1.510231821,0.001230259,29329.01935
282.8166667,285.9277778,1.510231821,0.001514165,29491.18613
282.8166667,285.9277778,1.510231821,0.001703435,29560.68617
282.8166667,285.9277778,1.510231821,0.001892706,29607.01954
282.8166667,285.9277778,1.510231821,0.001987341,29630.18622
282.8166667,285.9277778,1.510231821,0.002081976,29630.18622
282.8166667,285.9277778,1.510231821,0.002271247,29676.51958
282.8166667,285.9277778,1.604621309,0.001230259,29633.26229
282.8166667,285.9277778,1.604621309,0.001514165,29797.1113
