Tdb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Htg Cap [W]
284.8166667,269.2611111,0.453069546,0.000372232,7269.682708
284.8166667,269.2611111,0.453069546,0.000454249,7432.409118
284.8166667,269.2611111,0.453069546,0.000511031,7508.779257
284.8166667,269.2611111,0.453069546,0.000567812,7585.149396
284.8166667,269.2611111,0.453069546,0.000599357,7617.263531
284.8166667,269.2611111,0.453069546,0.000624593,7649.377666
284.8166667,269.2611111,0.453069546,0.000681374,7704.016077
284.8166667,269.2611111,0.481386393,0.000372232,7337.133372
284.8166667,269.2611111,0.481386393,0.000454249,7501.369615
284.8166667,269.2611111,0.481386393,0.000511031,7578.448343
284.8166667,269.2611111,0.481386393,0.000567812,7655.527071
284.8166667,269.2611111,0.481386393,0.000599357,7687.939172
284.8166667,269.2611111,0.481386393,0.000624593,7720.351273
284.8166667,269.2611111,0.481386393,0.000681374,7775.496639
284.8166667,269.2611111,0.509703239,0.000372232,7397.089518
284.8166667,269.2611111,0.509703239,0.000454249,7562.667835
284.8166667,269.2611111,0.509703239,0.000511031,7640.376419
284.8166667,269.2611111,0.509703239,0.000567812,7718.085004
284.8166667,269.2611111,0.509703239,0.000599357,7750.761964
284.8166667,269.2611111,0.509703239,0.000624593,7783.438924
284.8166667,269.2611111,0.509703239,0.000681374,7839.034916
284.8166667,269.2611111,0.538020086,0.000372232,7449.551146
284.8166667,269.2611111,0.538020086,0.000454249,7616.303777
284.8166667,269.2611111,0.538020086,0.000511031,7694.563486
284.8166667,269.2611111,0.538020086,0.000567812,7772.823195
284.8166667,269.2611111,0.538020086,0.000599357,7805.731907
284.8166667,269.2611111,0.538020086,0.000624593,7838.640618
284.8166667,269.2611111,0.538020086,0.000681374,7894.630908
284.8166667,269.2611111,0.566336933,0.000372232,7494.518256
284.8166667,269.2611111,0.566336933,0.000454249,7662.277442
284.8166667,269.2611111,0.566336933,0.000511031,7741.009543
284.8166667,269.2611111,0.566336933,0.000567812,7819.741645
284.8166667,269.2611111,0.566336933,0.000599357,7852.849001
284.8166667,269.2611111,0.566336933,0.000624593,7885.956356
284.8166667,269.2611111,0.566336933,0.000681374,7942.284616
284.8166667,269.2611111,0.622970626,0.000372232,7576.957956
284.8166667,269.2611111,0.622970626,0.000454249,7746.562493
284.8166667,269.2611111,0.622970626,0.000511031,7826.160648
284.8166667,269.2611111,0.622970626,0.000567812,7905.758803
284.8166667,269.2611111,0.622970626,0.000599357,7939.23034
284.8166667,269.2611111,0.622970626,0.000624593,7972.701876
284.8166667,269.2611111,0.622970626,0.000681374,8029.649747
284.8166667,269.2611111,0.651287473,0.000372232,7614.430548
284.8166667,269.2611111,0.651287473,0.000454249,7784.873881
284.8166667,269.2611111,0.651287473,0.000511031,7864.865696
284.8166667,269.2611111,0.651287473,0.000567812,7944.857512
284.8166667,269.2611111,0.651287473,0.000599357,7978.494585
284.8166667,269.2611111,0.651287473,0.000624593,8012.131658
284.8166667,269.2611111,0.651287473,0.000681374,8069.36117
284.8166667,269.2611111,0.679604319,0.000372232,7644.408621
284.8166667,269.2611111,0.679604319,0.000454249,7815.52299
284.8166667,269.2611111,0.679604319,0.000511031,7895.829734
284.8166667,269.2611111,0.679604319,0.000567812,7976.136478
284.8166667,269.2611111,0.679604319,0.000599357,8009.905981
284.8166667,269.2611111,0.679604319,0.000624593,8043.675483
284.8166667,269.2611111,0.679604319,0.000681374,8101.130308
284.8166667,273.15,0.453069546,0.000372232,8223.08099
284.8166667,273.15,0.453069546,0.000454249,8386.996226
284.8166667,273.15,0.453069546,0.000511031,8468.953844
284.8166667,273.15,0.453069546,0.000567812,8550.911462
284.8166667,273.15,0.453069546,0.000599357,8578.230668
284.8166667,273.15,0.453069546,0.000624593,8605.549874
284.8166667,273.15,0.453069546,0.000681374,8687.507492
284.8166667,273.15,0.481386393,0.000372232,8299.377618
284.8166667,273.15,0.481386393,0.000454249,8464.813717
284.8166667,273.15,0.481386393,0.000511031,8547.531766
284.8166667,273.15,0.481386393,0.000567812,8630.249816
284.8166667,273.15,0.481386393,0.000599357,8657.822499
284.8166667,273.15,0.481386393,0.000624593,8685.395182
284.8166667,273.15,0.481386393,0.000681374,8768.113231
284.8166667,273.15,0.509703239,0.000372232,8367.196843
284.8166667,273.15,0.509703239,0.000454249,8533.98482
284.8166667,273.15,0.509703239,0.000511031,8617.378808
284.8166667,273.15,0.509703239,0.000567812,8700.772797
284.8166667,273.15,0.509703239,0.000599357,8728.570793
284.8166667,273.15,0.509703239,0.000624593,8756.368789
284.8166667,273.15,0.509703239,0.000681374,8839.762777
284.8166667,273.15,0.538020086,0.000372232,8426.538664
284.8166667,273.15,0.538020086,0.000454249,8594.509535
284.8166667,273.15,0.538020086,0.000511031,8678.49497
284.8166667,273.15,0.538020086,0.000567812,8762.480405
284.8166667,273.15,0.538020086,0.000599357,8790.47555
284.8166667,273.15,0.538020086,0.000624593,8818.470695
284.8166667,273.15,0.538020086,0.000681374,8902.456131
284.8166667,273.15,0.566336933,0.000372232,8477.403083
284.8166667,273.15,0.566336933,0.000454249,8646.387862
284.8166667,273.15,0.566336933,0.000511031,8730.880252
284.8166667,273.15,0.566336933,0.000567812,8815.372641
284.8166667,273.15,0.566336933,0.000599357,8843.536771
284.8166667,273.15,0.566336933,0.000624593,8871.700901
284.8166667,273.15,0.566336933,0.000681374,8956.19329
284.8166667,273.15,0.622970626,0.000372232,8570.654517
284.8166667,273.15,0.622970626,0.000454249,8741.498128
284.8166667,273.15,0.622970626,0.000511031,8826.919934
284.8166667,273.15,0.622970626,0.000567812,8912.34174
284.8166667,273.15,0.622970626,0.000599357,8940.815675
284.8166667,273.15,0.622970626,0.000624593,8969.289611
284.8166667,273.15,0.622970626,0.000681374,9054.711416
284.8166667,273.15,0.651287473,0.000372232,8613.041532
284.8166667,273.15,0.651287473,0.000454249,8784.730068
284.8166667,273.15,0.651287473,0.000511031,8870.574336
284.8166667,273.15,0.651287473,0.000567812,8956.418603
284.8166667,273.15,0.651287473,0.000599357,8985.033359
284.8166667,273.15,0.651287473,0.000624593,9013.648115
284.8166667,273.15,0.651287473,0.000681374,9099.492383
284.8166667,273.15,0.679604319,0.000372232,8646.951145
284.8166667,273.15,0.679604319,0.000454249,8819.315619
284.8166667,273.15,0.679604319,0.000511031,8905.497857
284.8166667,273.15,0.679604319,0.000567812,8991.680094
284.8166667,273.15,0.679604319,0.000599357,9020.407506
284.8166667,273.15,0.679604319,0.000624593,9049.134919
284.8166667,273.15,0.679604319,0.000681374,9135.317156
284.8166667,280.3722222,0.453069546,0.000372232,9889.552553
284.8166667,280.3722222,0.453069546,0.000454249,10135.42541
284.8166667,280.3722222,0.453069546,0.000511031,10244.70223
284.8166667,280.3722222,0.453069546,0.000567812,10353.97905
284.8166667,280.3722222,0.453069546,0.000599357,10408.61747
284.8166667,280.3722222,0.453069546,0.000624593,10463.25588
284.8166667,280.3722222,0.453069546,0.000681374,10545.2135
284.8166667,280.3722222,0.481386393,0.000372232,9981.311288
284.8166667,280.3722222,0.481386393,0.000454249,10229.46544
284.8166667,280.3722222,0.481386393,0.000511031,10339.75617
284.8166667,280.3722222,0.481386393,0.000567812,10450.0469
284.8166667,280.3722222,0.481386393,0.000599357,10505.19227
284.8166667,280.3722222,0.481386393,0.000624593,10560.33763
284.8166667,280.3722222,0.481386393,0.000681374,10643.05568
284.8166667,280.3722222,0.509703239,0.000372232,10062.87461
284.8166667,280.3722222,0.509703239,0.000454249,10313.05657
284.8166667,280.3722222,0.509703239,0.000511031,10424.24856
284.8166667,280.3722222,0.509703239,0.000567812,10535.44054
284.8166667,280.3722222,0.509703239,0.000599357,10591.03654
284.8166667,280.3722222,0.509703239,0.000624593,10646.63253
284.8166667,280.3722222,0.509703239,0.000681374,10730.02652
284.8166667,280.3722222,0.538020086,0.000372232,10134.24251
284.8166667,280.3722222,0.538020086,0.000454249,10386.19882
284.8166667,280.3722222,0.538020086,0.000511031,10498.1794
284.8166667,280.3722222,0.538020086,0.000567812,10610.15998
284.8166667,280.3722222,0.538020086,0.000599357,10666.15027
284.8166667,280.3722222,0.538020086,0.000624593,10722.14056
284.8166667,280.3722222,0.538020086,0.000681374,10806.12599
284.8166667,280.3722222,0.566336933,0.000372232,10195.415
284.8166667,280.3722222,0.566336933,0.000454249,10448.89217
284.8166667,280.3722222,0.566336933,0.000511031,10561.54869
284.8166667,280.3722222,0.566336933,0.000567812,10674.20521
284.8166667,280.3722222,0.566336933,0.000599357,10730.53347
284.8166667,280.3722222,0.566336933,0.000624593,10786.86173
284.8166667,280.3722222,0.566336933,0.000681374,10871.35412
284.8166667,280.3722222,0.622970626,0.000372232,10307.56457
284.8166667,280.3722222,0.622970626,0.000454249,10563.82999
284.8166667,280.3722222,0.622970626,0.000511031,10677.72573
284.8166667,280.3722222,0.622970626,0.000567812,10791.62147
284.8166667,280.3722222,0.622970626,0.000599357,10848.56934
284.8166667,280.3722222,0.622970626,0.000624593,10905.51721
284.8166667,280.3722222,0.622970626,0.000681374,10990.93901
284.8166667,280.3722222,0.651287473,0.000372232,10358.54164
284.8166667,280.3722222,0.651287473,0.000454249,10616.07445
284.8166667,280.3722222,0.651287473,0.000511031,10730.53347
284.8166667,280.3722222,0.651287473,0.000567812,10844.99249
284.8166667,280.3722222,0.651287473,0.000599357,10902.22201
284.8166667,280.3722222,0.651287473,0.000624593,10959.45152
284.8166667,280.3722222,0.651287473,0.000681374,11045.29579
284.8166667,280.3722222,0.679604319,0.000372232,10399.3233
284.8166667,280.3722222,0.679604319,0.000454249,10657.87002
284.8166667,280.3722222,0.679604319,0.000511031,10772.77967
284.8166667,280.3722222,0.679604319,0.000567812,10887.68931
284.8166667,280.3722222,0.679604319,0.000599357,10945.14414
284.8166667,280.3722222,0.679604319,0.000624593,11002.59896
284.8166667,280.3722222,0.679604319,0.000681374,11088.7812
284.8166667,285.9277778,0.453069546,0.000372232,11228.19364
284.8166667,285.9277778,0.453069546,0.000454249,11501.3857
284.8166667,285.9277778,0.453069546,0.000511031,11637.98173
284.8166667,285.9277778,0.453069546,0.000567812,11747.25856
284.8166667,285.9277778,0.453069546,0.000599357,11801.89697
284.8166667,285.9277778,0.453069546,0.000624593,11829.21618
284.8166667,285.9277778,0.453069546,0.000681374,11938.493
284.8166667,285.9277778,0.481386393,0.000372232,11332.37276
284.8166667,285.9277778,0.481386393,0.000454249,11608.09959
284.8166667,285.9277778,0.481386393,0.000511031,11745.96301
284.8166667,285.9277778,0.481386393,0.000567812,11856.25374
284.8166667,285.9277778,0.481386393,0.000599357,11911.39911
284.8166667,285.9277778,0.481386393,0.000624593,11938.97179
284.8166667,285.9277778,0.481386393,0.000681374,12049.26252
284.8166667,285.9277778,0.509703239,0.000372232,11424.97642
284.8166667,285.9277778,0.509703239,0.000454249,11702.95638
284.8166667,285.9277778,0.509703239,0.000511031,11841.94636
284.8166667,285.9277778,0.509703239,0.000567812,11953.13835
284.8166667,285.9277778,0.509703239,0.000599357,12008.73434
284.8166667,285.9277778,0.509703239,0.000624593,12036.53234
284.8166667,285.9277778,0.509703239,0.000681374,12147.72432
284.8166667,285.9277778,0.538020086,0.000372232,11506.00462
