Tdb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Htg Pow [W]
284.8166667,269.2611111,0.453069546,0.000372232,2114.237851
284.8166667,269.2611111,0.453069546,0.000454249,2127.007309
284.8166667,269.2611111,0.453069546,0.000511031,2131.401102
284.8166667,269.2611111,0.453069546,0.000567812,2135.588935
284.8166667,269.2611111,0.453069546,0.000599357,2139.982727
284.8166667,269.2611111,0.453069546,0.000624593,2144.17056
284.8166667,269.2611111,0.453069546,0.000681374,2144.17056
284.8166667,269.2611111,0.481386393,0.000372232,2060.224475
284.8166667,269.2611111,0.481386393,0.000454249,2072.667707
284.8166667,269.2611111,0.481386393,0.000511031,2076.949249
284.8166667,269.2611111,0.481386393,0.000567812,2081.030093
284.8166667,269.2611111,0.481386393,0.000599357,2085.311635
284.8166667,269.2611111,0.481386393,0.000624593,2089.39248
284.8166667,269.2611111,0.481386393,0.000681374,2089.39248
284.8166667,269.2611111,0.509703239,0.000372232,2010.069198
284.8166667,269.2611111,0.509703239,0.000454249,2022.209504
284.8166667,269.2611111,0.509703239,0.000511031,2026.386814
284.8166667,269.2611111,0.509703239,0.000567812,2030.368312
284.8166667,269.2611111,0.509703239,0.000599357,2034.545622
284.8166667,269.2611111,0.509703239,0.000624593,2038.52712
284.8166667,269.2611111,0.509703239,0.000681374,2038.52712
284.8166667,269.2611111,0.538020086,0.000372232,1967.630117
284.8166667,269.2611111,0.538020086,0.000454249,1979.514102
284.8166667,269.2611111,0.538020086,0.000511031,1983.603215
284.8166667,269.2611111,0.538020086,0.000567812,1987.500651
284.8166667,269.2611111,0.538020086,0.000599357,1991.589764
284.8166667,269.2611111,0.538020086,0.000624593,1995.4872
284.8166667,269.2611111,0.538020086,0.000681374,1995.4872
284.8166667,269.2611111,0.566336933,0.000372232,1929.049134
284.8166667,269.2611111,0.566336933,0.000454249,1940.7001
284.8166667,269.2611111,0.566336933,0.000511031,1944.709034
284.8166667,269.2611111,0.566336933,0.000567812,1948.53005
284.8166667,269.2611111,0.566336933,0.000599357,1952.538984
284.8166667,269.2611111,0.566336933,0.000624593,1956.36
284.8166667,269.2611111,0.566336933,0.000681374,1956.36
284.8166667,269.2611111,0.622970626,0.000372232,1863.461464
284.8166667,269.2611111,0.622970626,0.000454249,1874.716297
284.8166667,269.2611111,0.622970626,0.000511031,1878.588927
284.8166667,269.2611111,0.622970626,0.000567812,1882.280028
284.8166667,269.2611111,0.622970626,0.000599357,1886.152659
284.8166667,269.2611111,0.622970626,0.000624593,1889.84376
284.8166667,269.2611111,0.622970626,0.000681374,1889.84376
284.8166667,269.2611111,0.651287473,0.000372232,1834.525727
284.8166667,269.2611111,0.651287473,0.000454249,1845.605795
284.8166667,269.2611111,0.651287473,0.000511031,1849.418292
284.8166667,269.2611111,0.651287473,0.000567812,1853.052078
284.8166667,269.2611111,0.651287473,0.000599357,1856.864574
284.8166667,269.2611111,0.651287473,0.000624593,1860.49836
284.8166667,269.2611111,0.651287473,0.000681374,1860.49836
284.8166667,269.2611111,0.679604319,0.000372232,1807.519039
284.8166667,269.2611111,0.679604319,0.000454249,1818.435994
284.8166667,269.2611111,0.679604319,0.000511031,1822.192365
284.8166667,269.2611111,0.679604319,0.000567812,1825.772657
284.8166667,269.2611111,0.679604319,0.000599357,1829.529028
284.8166667,269.2611111,0.679604319,0.000624593,1833.10932
284.8166667,269.2611111,0.679604319,0.000681374,1833.10932
284.8166667,273.15,0.453069546,0.000372232,2171.19792
284.8166667,273.15,0.453069546,0.000454249,2180.20704
284.8166667,273.15,0.453069546,0.000511031,2189.21616
284.8166667,273.15,0.453069546,0.000567812,2189.21616
284.8166667,273.15,0.453069546,0.000599357,2198.22528
284.8166667,273.15,0.453069546,0.000624593,2198.22528
284.8166667,273.15,0.453069546,0.000681374,2198.22528
284.8166667,273.15,0.481386393,0.000372232,2115.72936
284.8166667,273.15,0.481386393,0.000454249,2124.50832
