Tdb [K],Twb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Sen Clg Cap [W]
291.8166667,282.8166667,280.3722222,1.510231821,0.001230259,24798.86581
291.8166667,282.8166667,280.3722222,1.510231821,0.001514165,24919.36565
291.8166667,282.8166667,280.3722222,1.510231821,0.001703435,24967.56558
291.8166667,282.8166667,280.3722222,1.510231821,0.001892706,25015.76552
291.8166667,282.8166667,280.3722222,1.510231821,0.001987341,25015.76552
291.8166667,282.8166667,280.3722222,1.510231821,0.002081976,25039.86548
291.8166667,282.8166667,280.3722222,1.510231821,0.002271247,25063.96545
291.8166667,282.8166667,280.3722222,1.604621309,0.001230259,25607.82769
291.8166667,282.8166667,280.3722222,1.604621309,0.001514165,25732.25834
291.8166667,282.8166667,280.3722222,1.604621309,0.001703435,25782.0306
291.8166667,282.8166667,280.3722222,1.604621309,0.001892706,25831.80286
291.8166667,282.8166667,280.3722222,1.604621309,0.001987341,25831.80286
291.8166667,282.8166667,280.3722222,1.604621309,0.002081976,25856.68899
291.8166667,282.8166667,280.3722222,1.604621309,0.002271247,25881.57512
291.8166667,282.8166667,280.3722222,1.699010798,0.001230259,26388.89433
291.8166667,282.8166667,280.3722222,1.699010798,0.001514165,26517.12025
291.8166667,282.8166667,280.3722222,1.699010798,0.001703435,26568.41062
291.8166667,282.8166667,280.3722222,1.699010798,0.001892706,26619.70099
291.8166667,282.8166667,280.3722222,1.699010798,0.001987341,26619.70099
291.8166667,282.8166667,280.3722222,1.699010798,0.002081976,26645.34617
291.8166667,282.8166667,280.3722222,1.699010798,0.002271247,26670.99136
291.8166667,282.8166667,280.3722222,1.793400287,0.001230259,27142.06573
291.8166667,282.8166667,280.3722222,1.793400287,0.001514165,27273.95138
291.8166667,282.8166667,280.3722222,1.793400287,0.001703435,27326.70564
291.8166667,282.8166667,280.3722222,1.793400287,0.001892706,27379.45989
291.8166667,282.8166667,280.3722222,1.793400287,0.001987341,27379.45989
291.8166667,282.8166667,280.3722222,1.793400287,0.002081976,27405.83702
291.8166667,282.8166667,280.3722222,1.793400287,0.002271247,27432.21415
291.8166667,282.8166667,280.3722222,1.887789776,0.001230259,27895.23714
291.8166667,282.8166667,280.3722222,1.887789776,0.001514165,28030.78251
291.8166667,282.8166667,280.3722222,1.887789776,0.001703435,28085.00065
291.8166667,282.8166667,280.3722222,1.887789776,0.001892706,28139.2188
291.8166667,282.8166667,280.3722222,1.887789776,0.001987341,28139.2188
291.8166667,282.8166667,280.3722222,1.887789776,0.002081976,28166.32788
291.8166667,282.8166667,280.3722222,1.887789776,0.002271247,28193.43695
291.8166667,282.8166667,280.3722222,2.076568753,0.001230259,29345.78947
291.8166667,282.8166667,280.3722222,2.076568753,0.001514165,29488.3832
291.8166667,282.8166667,280.3722222,2.076568753,0.001703435,29545.42069
291.8166667,282.8166667,280.3722222,2.076568753,0.001892706,29602.45818
291.8166667,282.8166667,280.3722222,2.076568753,0.001987341,29602.45818
291.8166667,282.8166667,280.3722222,2.076568753,0.002081976,29630.97693
291.8166667,282.8166667,280.3722222,2.076568753,0.002271247,29659.49567
291.8166667,282.8166667,280.3722222,2.170958242,0.001230259,30071.06563
291.8166667,282.8166667,280.3722222,2.170958242,0.001514165,30217.18354
291.8166667,282.8166667,280.3722222,2.170958242,0.001703435,30275.63071
291.8166667,282.8166667,280.3722222,2.170958242,0.001892706,30334.07787
291.8166667,282.8166667,280.3722222,2.170958242,0.001987341,30334.07787
291.8166667,282.8166667,280.3722222,2.170958242,0.002081976,30363.30145
291.8166667,282.8166667,280.3722222,2.170958242,0.002271247,30392.52503
291.8166667,282.8166667,280.3722222,2.265347731,0.001230259,30768.44656
291.8166667,282.8166667,280.3722222,2.265347731,0.001514165,30917.9531
291.8166667,282.8166667,280.3722222,2.265347731,0.001703435,30977.75572
291.8166667,282.8166667,280.3722222,2.265347731,0.001892706,31037.55834
291.8166667,282.8166667,280.3722222,2.265347731,0.001987341,31037.55834
291.8166667,282.8166667,280.3722222,2.265347731,0.002081976,31067.45965
291.8166667,282.8166667,280.3722222,2.265347731,0.002271247,31097.36096
291.8166667,282.8166667,285.9277778,1.510231821,0.001230259,24533.76618
291.8166667,282.8166667,285.9277778,1.510231821,0.001514165,24654.26601
291.8166667,282.8166667,285.9277778,1.510231821,0.001703435,24726.56591
291.8166667,282.8166667,285.9277778,1.510231821,0.001892706,24750.66588
291.8166667,282.8166667,285.9277778,1.510231821,0.001987341,24774.76585
291.8166667,282.8166667,285.9277778,1.510231821,0.002081976,24774.76585
291.8166667,282.8166667,285.9277778,1.510231821,0.002271247,24822.96578
291.8166667,282.8166667,285.9277778,1.604621309,0.001230259,25334.08026
291.8166667,282.8166667,285.9277778,1.604621309,0.001514165,25458.51091
291.8166667,282.8166667,285.9277778,1.604621309,0.001703435,25533.1693
291.8166667,282.8166667,285.9277778,1.604621309,0.001892706,25558.05543
291.8166667,282.8166667,285.9277778,1.604621309,0.001987341,25582.94156
291.8166667,282.8166667,285.9277778,1.604621309,0.002081976,25582.94156
291.8166667,282.8166667,285.9277778,1.604621309,0.002271247,25632.71382
291.8166667,282.8166667,285.9277778,1.699010798,0.001230259,26106.79731
291.8166667,282.8166667,285.9277778,1.699010798,0.001514165,26235.02323
291.8166667,282.8166667,285.9277778,1.699010798,0.001703435,26311.95878
291.8166667,282.8166667,285.9277778,1.699010798,0.001892706,26337.60396
291.8166667,282.8166667,285.9277778,1.699010798,0.001987341,26363.24915
291.8166667,282.8166667,285.9277778,1.699010798,0.002081976,26363.24915
291.8166667,282.8166667,285.9277778,1.699010798,0.002271247,26414.53952
291.8166667,282.8166667,285.9277778,1.793400287,0.001230259,26851.91732
291.8166667,282.8166667,285.9277778,1.793400287,0.001514165,26983.80296
291.8166667,282.8166667,285.9277778,1.793400287,0.001703435,27062.93435
291.8166667,282.8166667,285.9277778,1.793400287,0.001892706,27089.31148
291.8166667,282.8166667,285.9277778,1.793400287,0.001987341,27115.6886
291.8166667,282.8166667,285.9277778,1.793400287,0.002081976,27115.6886
291.8166667,282.8166667,285.9277778,1.793400287,0.002271247,27168.44286
291.8166667,282.8166667,285.9277778,1.887789776,0.001230259,27597.03732
291.8166667,282.8166667,285.9277778,1.887789776,0.001514165,27732.58269
291.8166667,282.8166667,285.9277778,1.887789776,0.001703435,27813.90991
291.8166667,282.8166667,285.9277778,1.887789776,0.001892706,27841.01899
291.8166667,282.8166667,285.9277778,1.887789776,0.001987341,27868.12806
291.8166667,282.8166667,285.9277778,1.887789776,0.002081976,27868.12806
291.8166667,282.8166667,285.9277778,1.887789776,0.002271247,27922.34621
291.8166667,282.8166667,285.9277778,2.076568753,0.001230259,29032.08326
291.8166667,282.8166667,285.9277778,2.076568753,0.001514165,29174.67699
291.8166667,282.8166667,285.9277778,2.076568753,0.001703435,29260.23323
291.8166667,282.8166667,285.9277778,2.076568753,0.001892706,29288.75198
291.8166667,282.8166667,285.9277778,2.076568753,0.001987341,29317.27072
291.8166667,282.8166667,285.9277778,2.076568753,0.002081976,29317.27072
291.8166667,282.8166667,285.9277778,2.076568753,0.002271247,29374.30821
291.8166667,282.8166667,285.9277778,2.170958242,0.001230259,29749.60623
291.8166667,282.8166667,285.9277778,2.170958242,0.001514165,29895.72414
291.8166667,282.8166667,285.9277778,2.170958242,0.001703435,29983.39489
291.8166667,282.8166667,285.9277778,2.170958242,0.001892706,30012.61847
291.8166667,282.8166667,285.9277778,2.170958242,0.001987341,30041.84205
291.8166667,282.8166667,285.9277778,2.170958242,0.002081976,30041.84205
291.8166667,282.8166667,285.9277778,2.170958242,0.002271247,30100.28922
