Tdb [K],Twb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Sen Clg Cap [W]
291.8166667,282.8166667,280.3722222,0.453069546,0.000372232,9378.833425
291.8166667,282.8166667,280.3722222,0.453069546,0.000454249,9454.266402
291.8166667,282.8166667,280.3722222,0.453069546,0.000511031,9479.410727
291.8166667,282.8166667,280.3722222,0.453069546,0.000567812,9504.555053
291.8166667,282.8166667,280.3722222,0.453069546,0.000599357,9504.555053
291.8166667,282.8166667,280.3722222,0.453069546,0.000624593,9504.555053
291.8166667,282.8166667,280.3722222,0.453069546,0.000681374,9529.699378
291.8166667,282.8166667,280.3722222,0.481386393,0.000372232,9673.897847
291.8166667,282.8166667,280.3722222,0.481386393,0.000454249,9751.703996
291.8166667,282.8166667,280.3722222,0.481386393,0.000511031,9777.639379
291.8166667,282.8166667,280.3722222,0.481386393,0.000567812,9803.574762
291.8166667,282.8166667,280.3722222,0.481386393,0.000599357,9803.574762
291.8166667,282.8166667,280.3722222,0.481386393,0.000624593,9803.574762
291.8166667,282.8166667,280.3722222,0.481386393,0.000681374,9829.510145
291.8166667,282.8166667,280.3722222,0.509703239,0.000372232,9968.96227
291.8166667,282.8166667,280.3722222,0.509703239,0.000454249,10049.14159
291.8166667,282.8166667,280.3722222,0.509703239,0.000511031,10075.86803
291.8166667,282.8166667,280.3722222,0.509703239,0.000567812,10102.59447
291.8166667,282.8166667,280.3722222,0.509703239,0.000599357,10102.59447
291.8166667,282.8166667,280.3722222,0.509703239,0.000624593,10102.59447
291.8166667,282.8166667,280.3722222,0.509703239,0.000681374,10129.32091
291.8166667,282.8166667,280.3722222,0.538020086,0.000372232,10253.48868
291.8166667,282.8166667,280.3722222,0.538020086,0.000454249,10335.95641
291.8166667,282.8166667,280.3722222,0.538020086,0.000511031,10363.44566
291.8166667,282.8166667,280.3722222,0.538020086,0.000567812,10390.93491
291.8166667,282.8166667,280.3722222,0.538020086,0.000599357,10390.93491
291.8166667,282.8166667,280.3722222,0.538020086,0.000624593,10390.93491
291.8166667,282.8166667,280.3722222,0.538020086,0.000681374,10418.42415
291.8166667,282.8166667,280.3722222,0.566336933,0.000372232,10538.01508
291.8166667,282.8166667,280.3722222,0.566336933,0.000454249,10622.77124
291.8166667,282.8166667,280.3722222,0.566336933,0.000511031,10651.02329
291.8166667,282.8166667,280.3722222,0.566336933,0.000567812,10679.27534
291.8166667,282.8166667,280.3722222,0.566336933,0.000599357,10679.27534
291.8166667,282.8166667,280.3722222,0.566336933,0.000624593,10679.27534
291.8166667,282.8166667,280.3722222,0.566336933,0.000681374,10707.52739
291.8166667,282.8166667,280.3722222,0.622970626,0.000372232,11096.52988
291.8166667,282.8166667,280.3722222,0.622970626,0.000454249,11185.77811
291.8166667,282.8166667,280.3722222,0.622970626,0.000511031,11215.52752
291.8166667,282.8166667,280.3722222,0.622970626,0.000567812,11245.27693
291.8166667,282.8166667,280.3722222,0.622970626,0.000599357,11245.27693
291.8166667,282.8166667,280.3722222,0.622970626,0.000624593,11245.27693
291.8166667,282.8166667,280.3722222,0.622970626,0.000681374,11275.02634
291.8166667,282.8166667,280.3722222,0.651287473,0.000372232,11381.05629
291.8166667,282.8166667,280.3722222,0.651287473,0.000454249,11472.59294
291.8166667,282.8166667,280.3722222,0.651287473,0.000511031,11503.10515
291.8166667,282.8166667,280.3722222,0.651287473,0.000567812,11533.61737
291.8166667,282.8166667,280.3722222,0.651287473,0.000599357,11533.61737
291.8166667,282.8166667,280.3722222,0.651287473,0.000624593,11533.61737
291.8166667,282.8166667,280.3722222,0.651287473,0.000681374,11564.12958
291.8166667,282.8166667,280.3722222,0.679604319,0.000372232,11581.41843
291.8166667,282.8166667,280.3722222,0.679604319,0.000454249,11650.6301
291.8166667,282.8166667,280.3722222,0.679604319,0.000511031,11696.7712
291.8166667,282.8166667,280.3722222,0.679604319,0.000567812,11719.84176
291.8166667,282.8166667,280.3722222,0.679604319,0.000599357,11719.84176
291.8166667,282.8166667,280.3722222,0.679604319,0.000624593,11742.91231
291.8166667,282.8166667,280.3722222,0.679604319,0.000681374,11765.98287
291.8166667,282.8166667,285.9277778,0.453069546,0.000372232,9253.111797
291.8166667,282.8166667,285.9277778,0.453069546,0.000454249,9303.400449
291.8166667,282.8166667,285.9277778,0.453069546,0.000511031,9328.544774
291.8166667,282.8166667,285.9277778,0.453069546,0.000567812,9328.544774
291.8166667,282.8166667,285.9277778,0.453069546,0.000599357,9353.6891
291.8166667,282.8166667,285.9277778,0.453069546,0.000624593,9353.6891
291.8166667,282.8166667,285.9277778,0.453069546,0.000681374,9378.833425
291.8166667,282.8166667,285.9277778,0.481386393,0.000372232,9544.220933
291.8166667,282.8166667,285.9277778,0.481386393,0.000454249,9596.091699
291.8166667,282.8166667,285.9277778,0.481386393,0.000511031,9622.027082
291.8166667,282.8166667,285.9277778,0.481386393,0.000567812,9622.027082
291.8166667,282.8166667,285.9277778,0.481386393,0.000599357,9647.962465
291.8166667,282.8166667,285.9277778,0.481386393,0.000624593,9647.962465
291.8166667,282.8166667,285.9277778,0.481386393,0.000681374,9673.897847
291.8166667,282.8166667,285.9277778,0.509703239,0.000372232,9835.330068
291.8166667,282.8166667,285.9277778,0.509703239,0.000454249,9888.782949
291.8166667,282.8166667,285.9277778,0.509703239,0.000511031,9915.509389
291.8166667,282.8166667,285.9277778,0.509703239,0.000567812,9915.509389
291.8166667,282.8166667,285.9277778,0.509703239,0.000599357,9942.235829
291.8166667,282.8166667,285.9277778,0.509703239,0.000624593,9942.235829
291.8166667,282.8166667,285.9277778,0.509703239,0.000681374,9968.96227
291.8166667,282.8166667,285.9277778,0.538020086,0.000372232,10116.04245
291.8166667,282.8166667,285.9277778,0.538020086,0.000454249,10171.02094
291.8166667,282.8166667,285.9277778,0.538020086,0.000511031,10198.51019
291.8166667,282.8166667,285.9277778,0.538020086,0.000567812,10198.51019
291.8166667,282.8166667,285.9277778,0.538020086,0.000599357,10225.99943
291.8166667,282.8166667,285.9277778,0.538020086,0.000624593,10225.99943
291.8166667,282.8166667,285.9277778,0.538020086,0.000681374,10253.48868
291.8166667,282.8166667,285.9277778,0.566336933,0.000372232,10396.75483
291.8166667,282.8166667,285.9277778,0.566336933,0.000454249,10453.25893
291.8166667,282.8166667,285.9277778,0.566336933,0.000511031,10481.51098
291.8166667,282.8166667,285.9277778,0.566336933,0.000567812,10481.51098
291.8166667,282.8166667,285.9277778,0.566336933,0.000599357,10509.76303
291.8166667,282.8166667,285.9277778,0.566336933,0.000624593,10509.76303
291.8166667,282.8166667,285.9277778,0.566336933,0.000681374,10538.01508
291.8166667,282.8166667,285.9277778,0.622970626,0.000372232,10947.78283
291.8166667,282.8166667,285.9277778,0.622970626,0.000454249,11007.28165
291.8166667,282.8166667,285.9277778,0.622970626,0.000511031,11037.03106
291.8166667,282.8166667,285.9277778,0.622970626,0.000567812,11037.03106
291.8166667,282.8166667,285.9277778,0.622970626,0.000599357,11066.78047
291.8166667,282.8166667,285.9277778,0.622970626,0.000624593,11066.78047
291.8166667,282.8166667,285.9277778,0.622970626,0.000681374,11096.52988
291.8166667,282.8166667,285.9277778,0.651287473,0.000372232,11228.49521
291.8166667,282.8166667,285.9277778,0.651287473,0.000454249,11289.51965
291.8166667,282.8166667,285.9277778,0.651287473,0.000511031,11320.03186
291.8166667,282.8166667,285.9277778,0.651287473,0.000567812,11320.03186
291.8166667,282.8166667,285.9277778,0.651287473,0.000599357,11350.54408
291.8166667,282.8166667,285.9277778,0.651287473,0.000624593,11350.54408
291.8166667,282.8166667,285.9277778,0.651287473,0.000681374,11381.05629
291.8166667,282.8166667,285.9277778,0.679604319,0.000372232,11304.57178
291.8166667,282.8166667,285.9277778,0.679604319,0.000454249,11373.78344
291.8166667,282.8166667,285.9277778,0.679604319,0.000511031,11396.85399
291.8166667,282.8166667,285.9277778,0.679604319,0.000567812,11419.92455
291.8166667,282.8166667,285.9277778,0.679604319,0.000599357,11442.9951
291.8166667,282.8166667,285.9277778,0.679604319,0.000624593,11442.9951
291.8166667,282.8166667,285.9277778,0.679604319,0.000681374,11466.06566
291.8166667,282.8166667,293.15,0.453069546,0.000372232,9001.668542
291.8166667,282.8166667,293.15,0.453069546,0.000454249,9051.957193
291.8166667,282.8166667,293.15,0.453069546,0.000511031,9077.101519
291.8166667,282.8166667,293.15,0.453069546,0.000567812,9102.245844
291.8166667,282.8166667,293.15,0.453069546,0.000599357,9102.245844
291.8166667,282.8166667,293.15,0.453069546,0.000624593,9127.39017
291.8166667,282.8166667,293.15,0.453069546,0.000681374,9152.534495
291.8166667,282.8166667,293.15,0.481386393,0.000372232,9284.867103
291.8166667,282.8166667,293.15,0.481386393,0.000454249,9336.737869
291.8166667,282.8166667,293.15,0.481386393,0.000511031,9362.673252
291.8166667,282.8166667,293.15,0.481386393,0.000567812,9388.608635
291.8166667,282.8166667,293.15,0.481386393,0.000599357,9388.608635
291.8166667,282.8166667,293.15,0.481386393,0.000624593,9414.544018
291.8166667,282.8166667,293.15,0.481386393,0.000681374,9440.479401
291.8166667,282.8166667,293.15,0.509703239,0.000372232,9568.065664
291.8166667,282.8166667,293.15,0.509703239,0.000454249,9621.518545
291.8166667,282.8166667,293.15,0.509703239,0.000511031,9648.244985
291.8166667,282.8166667,293.15,0.509703239,0.000567812,9674.971425
291.8166667,282.8166667,293.15,0.509703239,0.000599357,9674.971425
291.8166667,282.8166667,293.15,0.509703239,0.000624593,9701.697866
291.8166667,282.8166667,293.15,0.509703239,0.000681374,9728.424306
291.8166667,282.8166667,293.15,0.538020086,0.000372232,9841.14999
291.8166667,282.8166667,293.15,0.538020086,0.000454249,9896.128482
291.8166667,282.8166667,293.15,0.538020086,0.000511031,9923.617728
291.8166667,282.8166667,293.15,0.538020086,0.000567812,9951.106974
291.8166667,282.8166667,293.15,0.538020086,0.000599357,9951.106974
291.8166667,282.8166667,293.15,0.538020086,0.000624593,9978.596219
291.8166667,282.8166667,293.15,0.538020086,0.000681374,10006.08547
291.8166667,282.8166667,293.15,0.566336933,0.000372232,10114.23432
291.8166667,282.8166667,293.15,0.566336933,0.000454249,10170.73842
291.8166667,282.8166667,293.15,0.566336933,0.000511031,10198.99047
291.8166667,282.8166667,293.15,0.566336933,0.000567812,10227.24252
291.8166667,282.8166667,293.15,0.566336933,0.000599357,10227.24252
291.8166667,282.8166667,293.15,0.566336933,0.000624593,10255.49457
291.8166667,282.8166667,293.15,0.566336933,0.000681374,10283.74662
291.8166667,282.8166667,293.15,0.622970626,0.000372232,10647.81498
291.8166667,282.8166667,293.15,0.622970626,0.000454249,10709.78756
291.8166667,282.8166667,293.15,0.622970626,0.000511031,10739.53697
291.8166667,282.8166667,293.15,0.622970626,0.000567812,10769.28638
291.8166667,282.8166667,293.15,0.622970626,0.000599357,10769.28638
291.8166667,282.8166667,293.15,0.622970626,0.000624593,10799.03579
291.8166667,282.8166667,293.15,0.622970626,0.000681374,10828.78519
291.8166667,282.8166667,293.15,0.651287473,0.000372232,10710.882
291.8166667,282.8166667,293.15,0.651287473,0.000454249,10779.68852
291.8166667,282.8166667,293.15,0.651287473,0.000511031,10825.55954
291.8166667,282.8166667,293.15,0.651287473,0.000567812,10848.49505
291.8166667,282.8166667,293.15,0.651287473,0.000599357,10848.49505
291.8166667,282.8166667,293.15,0.651287473,0.000624593,10871.43055
291.8166667,282.8166667,293.15,0.651287473,0.000681374,10894.36606
291.8166667,282.8166667,293.15,0.679604319,0.000372232,10773.94902
291.8166667,282.8166667,293.15,0.679604319,0.000454249,10843.16068
291.8166667,282.8166667,293.15,0.679604319,0.000511031,10889.30179
291.8166667,282.8166667,293.15,0.679604319,0.000567812,10912.37235
291.8166667,282.8166667,293.15,0.679604319,0.000599357,10912.37235
291.8166667,282.8166667,293.15,0.679604319,0.000624593,10935.4429
291.8166667,282.8166667,293.15,0.679604319,0.000681374,10958.51346
