state_name,current_code_in_force
Alabama,ComStock 90.1-2013
Alaska,ComStock 90.1-2016
Arizona,ComStock 90.1-2007
Arkansas,ComStock 90.1-2007
California,ComStock DEER 2020
Colorado,ComStock 90.1-2019
Connecticut,ComStock 90.1-2019
Delaware,ComStock 90.1-2013
District of Columbia,ComStock 90.1-2019
Florida,ComStock 90.1-2016
Georgia,ComStock 90.1-2013
Hawaii,ComStock 90.1-2016
Idaho,ComStock 90.1-2013
Illinois,ComStock 90.1-2019
Indiana,ComStock 90.1-2007
Iowa,ComStock 90.1-2010
Kansas,ComStock 90.1-2004
Kentucky,ComStock 90.1-2010
Louisiana,ComStock 90.1-2016
Maine,ComStock 90.1-2013
Maryland,ComStock 90.1-2019
Massachusetts,ComStock 90.1-2019
Michigan,ComStock 90.1-2013
Minnesota,ComStock 90.1-2019
Mississippi,ComStock 90.1-2016
Missouri,ComStock 90.1-2007
Montana,ComStock 90.1-2019
Nebraska,ComStock 90.1-2013
Nevada,ComStock 90.1-2013
New Hampshire,ComStock 90.1-2013
New Jersey,ComStock 90.1-2019
New Mexico,ComStock 90.1-2019
New York,ComStock 90.1-2016
North Carolina,ComStock 90.1-2010
North Dakota,ComStock 90.1-2019
Ohio,ComStock 90.1-2016
Oklahoma,ComStock 90.1-2004
Oregon,ComStock 90.1-2019
Pennsylvania,ComStock 90.1-2013
Rhode Island,ComStock 90.1-2013
South Carolina,ComStock 90.1-2007
South Dakota,ComStock 90.1-2013
Tennessee,ComStock 90.1-2010
Texas,ComStock 90.1-2013
Utah,ComStock 90.1-2019
Vermont,ComStock 90.1-2019
Virginia,ComStock 90.1-2019
Washington,ComStock 90.1-2019
West Virginia,ComStock 90.1-2013
Wisconsin,ComStock 90.1-2010
Wyoming,ComStock 90.1-2007
