subregion,2018,2019,2020,2021
US,952.877,889.214,822.621,857.019
AKGD,1044.989,1120.813,1104.191,1073.670
AKMS,526.963,551.276,536.11,487.075
AZNM,1027.548,956.883,850.158,823.085
CAMX,498.686,455.251,515.483,533.606
ERCT,936.082,872.389,822.039,817.169
FRCC,936.145,864.535,838.225,836.334
HIMS,1119.077,1195.598,1151.124,1143.900
HIOA,1682.596,1707.576,1665.483,1645.500
MROE,1689.651,1512.599,1535.829,1592.280
MROW,1249.201,1106.448,986.634,1003.050
NEWE,527.564,493.829,532.979,543.989
NWPP,643.363,719.873,603.786,638.523
NYCW,597.762,555.056,635.957,817.882
NYLI,1193.091,1218.93,1212.668,1218.910
NYUP,253.889,233.044,234.499,234.026
NYST,418.683,378.247,416.695,457.021
PRMS,1543.34,1543.34,1608.496,1563.900
RFCE,719.979,698.485,655.374,675.996
RFCM,1321.185,1196.997,1159.809,1221.840
RFCW,1174.029,1074.41,990.818,1052.540
RMPA,1281.944,1250.553,1151.617,1166.230
SPNO,1171.606,1077.597,960.829,999.097
SPSO,1172.755,1006.722,935.791,1037.050
SRMV,858.369,809.596,742.433,775.410
SRMW,1676.782,1595.941,1491.35,1554.700
SRSO,1033.471,973.981,864.183,896.440
SRTV,1038.127,955.587,839.245,937.463
SRVC,747.513,679.142,626.283,642.855
