Building,sampling_region,building_type,size_bin,heating_fuel,hvac_system_type
0,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
1,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
2,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
3,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
4,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
5,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
6,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
7,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
8,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
9,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
10,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
11,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
12,19,retail,0,NaturalGas,PSZ-AC with gas coil
13,19,retail,0,NaturalGas,PSZ-AC with gas coil
14,19,retail,0,NaturalGas,PSZ-AC with gas coil
15,19,retail,0,NaturalGas,PSZ-AC with gas coil
16,19,retail,0,NaturalGas,PSZ-AC with gas coil
17,19,retail,0,NaturalGas,PSZ-AC with gas coil
18,19,retail,0,NaturalGas,PSZ-AC with gas coil
19,19,retail,0,NaturalGas,PSZ-AC with gas coil
20,19,retail,0,NaturalGas,PSZ-AC with gas coil
21,19,retail,0,NaturalGas,PSZ-AC with gas coil
22,19,retail,0,NaturalGas,PSZ-AC with gas coil
23,19,retail,0,NaturalGas,PSZ-AC with gas coil
24,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
25,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
26,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
27,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
28,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
29,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
30,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
31,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
32,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
33,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
34,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
35,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
36,5,small_office,0,Electricity,PSZ-HP
37,5,small_office,0,Electricity,PSZ-HP
38,5,small_office,0,Electricity,PSZ-HP
39,5,small_office,0,Electricity,PSZ-HP
40,5,small_office,0,Electricity,PSZ-HP
41,5,small_office,0,Electricity,PSZ-HP
42,5,small_office,0,Electricity,PSZ-HP
43,5,small_office,0,Electricity,PSZ-HP
44,5,small_office,0,Electricity,PSZ-HP
45,5,small_office,0,Electricity,PSZ-HP
46,5,small_office,0,Electricity,PSZ-HP
47,5,small_office,0,Electricity,PSZ-HP
48,19,small_office,0,NaturalGas,PSZ-AC with gas coil
49,19,small_office,0,NaturalGas,PSZ-AC with gas coil
50,19,small_office,0,NaturalGas,PSZ-AC with gas coil
51,19,small_office,0,NaturalGas,PSZ-AC with gas coil
52,19,small_office,0,NaturalGas,PSZ-AC with gas coil
53,19,small_office,0,NaturalGas,PSZ-AC with gas coil
54,19,small_office,0,NaturalGas,PSZ-AC with gas coil
55,19,small_office,0,NaturalGas,PSZ-AC with gas coil
56,19,small_office,0,NaturalGas,PSZ-AC with gas coil
57,19,small_office,0,NaturalGas,PSZ-AC with gas coil
58,19,small_office,0,NaturalGas,PSZ-AC with gas coil
59,19,small_office,0,NaturalGas,PSZ-AC with gas coil
60,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
61,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
62,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
63,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
64,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
65,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
66,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
67,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
68,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
69,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
70,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
71,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
72,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
73,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
74,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
75,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
76,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
77,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
78,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
79,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
80,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
81,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
82,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
83,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
84,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
85,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
86,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
87,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
88,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
89,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
90,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
91,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
92,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
93,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
94,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
95,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
96,5,strip_mall,0,Electricity,PSZ-HP
97,5,strip_mall,0,Electricity,PSZ-HP
98,5,strip_mall,0,Electricity,PSZ-HP
99,5,strip_mall,0,Electricity,PSZ-HP
100,5,strip_mall,0,Electricity,PSZ-HP
101,5,strip_mall,0,Electricity,PSZ-HP
102,5,strip_mall,0,Electricity,PSZ-HP
103,5,strip_mall,0,Electricity,PSZ-HP
104,5,strip_mall,0,Electricity,PSZ-HP
105,5,strip_mall,0,Electricity,PSZ-HP
106,5,strip_mall,0,Electricity,PSZ-HP
107,5,strip_mall,0,Electricity,PSZ-HP
108,22,warehouse,0,Electricity,PSZ-AC with electric coil
109,22,warehouse,0,Electricity,PSZ-AC with electric coil
110,22,warehouse,0,Electricity,PSZ-AC with electric coil
111,22,warehouse,0,Electricity,PSZ-AC with electric coil
112,22,warehouse,0,Electricity,PSZ-AC with electric coil
113,22,warehouse,0,Electricity,PSZ-AC with electric coil
114,22,warehouse,0,Electricity,PSZ-AC with electric coil
115,22,warehouse,0,Electricity,PSZ-AC with electric coil
116,22,warehouse,0,Electricity,PSZ-AC with electric coil
117,22,warehouse,0,Electricity,PSZ-AC with electric coil
118,22,warehouse,0,Electricity,PSZ-AC with electric coil
