Building,sampling_region,building_type,size_bin,heating_fuel,hvac_system_type
0,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
1,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
2,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
3,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
4,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
5,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
6,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
7,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
8,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
9,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
10,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
11,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
12,19,retail,0,NaturalGas,PSZ-AC with gas coil
13,19,retail,0,NaturalGas,PSZ-AC with gas coil
14,19,retail,0,NaturalGas,PSZ-AC with gas coil
15,19,retail,0,NaturalGas,PSZ-AC with gas coil
16,19,retail,0,NaturalGas,PSZ-AC with gas coil
17,19,retail,0,NaturalGas,PSZ-AC with gas coil
18,19,retail,0,NaturalGas,PSZ-AC with gas coil
19,19,retail,0,NaturalGas,PSZ-AC with gas coil
20,19,retail,0,NaturalGas,PSZ-AC with gas coil
21,19,retail,0,NaturalGas,PSZ-AC with gas coil
22,19,retail,0,NaturalGas,PSZ-AC with gas coil
23,19,retail,0,NaturalGas,PSZ-AC with gas coil
24,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
25,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
26,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
27,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
28,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
29,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
30,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
31,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
32,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
33,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
34,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
35,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
36,19,small_office,0,NaturalGas,PSZ-AC with gas coil
37,19,small_office,0,NaturalGas,PSZ-AC with gas coil
38,19,small_office,0,NaturalGas,PSZ-AC with gas coil
39,19,small_office,0,NaturalGas,PSZ-AC with gas coil
40,19,small_office,0,NaturalGas,PSZ-AC with gas coil
41,19,small_office,0,NaturalGas,PSZ-AC with gas coil
42,19,small_office,0,NaturalGas,PSZ-AC with gas coil
43,19,small_office,0,NaturalGas,PSZ-AC with gas coil
44,19,small_office,0,NaturalGas,PSZ-AC with gas coil
45,19,small_office,0,NaturalGas,PSZ-AC with gas coil
46,19,small_office,0,NaturalGas,PSZ-AC with gas coil
47,19,small_office,0,NaturalGas,PSZ-AC with gas coil
48,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
49,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
50,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
51,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
52,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
53,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
54,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
55,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
56,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
57,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
58,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
59,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
60,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
61,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
62,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
63,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
64,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
65,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
66,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
67,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
68,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
69,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
70,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
71,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
72,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
73,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
74,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
75,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
76,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
77,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
78,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
79,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
80,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
81,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
82,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
83,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
84,5,strip_mall,0,Electricity,PSZ-AC with electric coil
85,5,strip_mall,0,Electricity,PSZ-AC with electric coil
86,5,strip_mall,0,Electricity,PSZ-AC with electric coil
87,5,strip_mall,0,Electricity,PSZ-AC with electric coil
88,5,strip_mall,0,Electricity,PSZ-AC with electric coil
89,5,strip_mall,0,Electricity,PSZ-AC with electric coil
90,5,strip_mall,0,Electricity,PSZ-AC with electric coil
91,5,strip_mall,0,Electricity,PSZ-AC with electric coil
92,5,strip_mall,0,Electricity,PSZ-AC with electric coil
93,5,strip_mall,0,Electricity,PSZ-AC with electric coil
94,5,strip_mall,0,Electricity,PSZ-AC with electric coil
95,5,strip_mall,0,Electricity,PSZ-AC with electric coil
96,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
97,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
98,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
99,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
100,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
101,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
102,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
103,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
104,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
105,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
106,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
107,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
108,5,small_office,0,Electricity,PTHP
109,5,small_office,0,Electricity,PTHP
110,5,small_office,0,Electricity,PTHP
111,5,small_office,0,Electricity,PTHP
112,5,small_office,0,Electricity,PTHP
113,5,small_office,0,Electricity,PTHP
