Building,sampling_region,building_type,size_bin,heating_fuel,hvac_system_type
0,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
1,19,retail,0,NaturalGas,PSZ-AC with gas coil
2,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
3,5,small_office,0,Electricity,PSZ-HP
4,19,small_office,0,NaturalGas,PSZ-AC with gas coil
5,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
6,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
7,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
8,5,strip_mall,0,Electricity,PSZ-HP
9,22,warehouse,0,Electricity,PSZ-AC with electric coil
10,5,small_office,0,Electricity,PSZ-AC with electric coil
11,22,strip_mall,0,NaturalGas,PSZ-AC with gas coil
12,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
13,18,strip_mall,0,NaturalGas,PSZ-AC with gas coil
14,5,warehouse,0,Electricity,PSZ-AC with electric coil
15,9,strip_mall,0,NaturalGas,PSZ-AC with gas coil
16,10,strip_mall,0,NaturalGas,PSZ-AC with gas coil
17,19,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
18,22,small_office,0,Electricity,PSZ-AC with electric coil
19,9,small_office,0,Electricity,PSZ-HP
20,29,strip_mall,0,NaturalGas,PSZ-AC with gas coil
21,105,strip_mall,0,NaturalGas,PSZ-AC with gas coil
22,30,strip_mall,0,NaturalGas,PSZ-AC with gas coil
23,48,warehouse,0,NaturalGas,PSZ-AC with gas coil
24,39,warehouse,0,NaturalGas,PSZ-AC with gas coil
25,5,retail,0,Electricity,PSZ-HP
26,9,warehouse,0,NaturalGas,PSZ-AC with gas coil
27,39,small_office,0,NaturalGas,PSZ-AC with gas coil
28,29,warehouse,0,NaturalGas,PSZ-AC with gas coil
29,22,warehouse,0,NaturalGas,PSZ-AC with gas coil
30,13,warehouse,0,NaturalGas,PSZ-AC with gas coil
31,22,strip_mall,0,Electricity,PSZ-AC with electric coil
32,0,small_office,0,NaturalGas,PSZ-AC with gas coil
33,18,warehouse,0,NaturalGas,PSZ-AC with gas coil
34,9,retail,0,NaturalGas,PSZ-AC with gas coil
35,5,retail,0,Electricity,PSZ-AC with electric coil
36,22,retail,0,Electricity,PSZ-AC with electric coil
37,8,warehouse,0,NaturalGas,PSZ-AC with gas coil
38,33,strip_mall,0,NaturalGas,PSZ-AC with gas coil
39,0,strip_mall,0,NaturalGas,PSZ-AC with gas coil
40,5,strip_mall,0,Electricity,PSZ-AC with electric coil
41,9,strip_mall,0,Electricity,PSZ-HP
42,17,strip_mall,0,NaturalGas,PSZ-AC with gas coil
43,30,warehouse,0,NaturalGas,PSZ-AC with gas coil
44,36,strip_mall,0,NaturalGas,PSZ-AC with gas coil
45,5,warehouse,0,Electricity,PSZ-HP
46,9,small_office,0,Electricity,PSZ-AC with electric coil
47,4,warehouse,0,NaturalGas,PSZ-AC with gas coil
48,39,retail,0,NaturalGas,PSZ-AC with gas coil
49,40,warehouse,0,Electricity,PSZ-AC with electric coil
50,8,strip_mall,0,NaturalGas,PSZ-AC with gas coil
51,0,strip_mall,0,Electricity,PSZ-HP
52,102,strip_mall,0,NaturalGas,PSZ-AC with gas coil
