building_type,space_type,exhaust_availability_schedule,exhaust_flow_fraction_schedule,balanced_exhaust_fraction_schedule
FullServiceRestaurant,Kitchen,RestaurantSitDown Kitchen_Exhaust_SCH,RestaurantSitDown Kitchen_Exhaust_SCH,RestaurantSitDown Kitchen Exhaust Fan Balanced Exhaust Fraction Schedule
Hospital,Kitchen,Hospital Kitchen_Exhaust_SCH,Hospital Kitchen_Exhaust_SCH,Hospital Kitchen Exhaust Fan Balanced Exhaust Fraction Schedule
LargeHotel,Kitchen,HotelLarge Kitchen_Exhaust_SCH,HotelLarge Kitchen_Exhaust_SCH,HotelLarge Kitchen Exhaust Fan Balanced Exhaust Fraction Schedule
Outpatient,Anesthesia,OutPatientHealthCare Hours_of_operation,OutPatientHealthCare Hours_of_operation,
Outpatient,MRI,OutPatientHealthCare Hours_of_operation,OutPatientHealthCare Hours_of_operation,
Outpatient,MRI_Control,OutPatientHealthCare Hours_of_operation,OutPatientHealthCare Hours_of_operation,
Outpatient,Soil Work,OutPatientHealthCare Hours_of_operation,OutPatientHealthCare Hours_of_operation,
Outpatient,Toilet,OutPatientHealthCare Hours_of_operation,OutPatientHealthCare Hours_of_operation,
PrimarySchool,Kitchen,SchoolPrimary Kitchen_Exhaust_SCH,SchoolPrimary Kitchen_Exhaust_SCH,SchoolPrimary Kitchen Exhaust Fan Balanced Exhaust Fraction Schedule
PrimarySchool,Restroom,,,
QuickServiceRestaurant,Kitchen,RestaurantFastFood Hours_of_operation,RestaurantFastFood Hours_of_operation,RestaurantFastFood Kitchen Exhaust Fan Balanced Exhaust Fraction Schedule_2004
SecondarySchool,Kitchen,SchoolSecondary Kitchen_Exhaust_SCH,SchoolSecondary Kitchen_Exhaust_SCH,SchoolSecondary Kitchen Exhaust Fan Balanced Exhaust Fraction Schedule
SecondarySchool,Restroom,,,
SmallHotel,PublicRestroom,,,
SuperMarket,Bakery,SuperMarket HVACOperationSchd,SuperMarket HVACOperationSchd,
SuperMarket,Deli,SuperMarket HVACOperationSchd,SuperMarket HVACOperationSchd,
