90_1_space_or_building_category,90_1_building_type,90_1_space_type_description,prototype_lighting_space_type,total_horizontal_illuminance_lumens_per_ft2,room_surface_dirt_depreciation,current_room_cavity_ratio,general_lighting_fraction,general_lighting_coefficient_of_utilization,task_lighting_fraction,task_lighting_coefficient_of_utilization,supplemental_lighting_fraction,supplemental_lighting_coefficient_of_utilization,wall_wash_lighting_fraction,wall_wash_lighting_coefficient_of_utilization,notes,source
Manufacturing Facility,Manufacturing Facility,General High Bay,manufacturing_facility_high_bay,55,0.96,5,1,0.54,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Manufacturing Facility,Manufacturing Facility,Extra High Bay,manufacturing_facility_extra_high_bay,55,0.96,7,1,0.47,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Museum,Museum,Active Storage,museum_active_storage,22,0.96,4,1,0.61,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Museum,Museum,General exhibition,museum_exhibition,11,0.96,4,1,0.89,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Museum,Museum,Restoration,museum_restoration,55,0.96,4,0.727272727,0.7,0.272727273,0.74,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Performing Arts Theater - Dressing Room,Auditorium,Dressing/Fitting Room,performing_arts_theater_auditorium,22,0.96,4,0.677419355,0.74,0.322580645,0.81,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Performing Arts Theater - Dressing Room,Performing Arts theatre,Dressing/Fitting Room,performing_arts_theater_dressing_room,22,0.96,4,1,0.7,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Post Office - Sorting Area,Post Office,Sorting Area,post_office_sorting_area,44,0.96,2,1,0.8,0,0,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Religious Facility,Religious,Audience/Seating Area,religious_facility_audience_seating_area,33,0.96,2,0.625,0.97,0.166666667,0.4,0,0,0.208333333,0.45,,pnnl_90_1_lighting_subcommittee_model
Religious Facility,Religious Buildings,Fellowship Hall,religious_facility_fellowship_hall,33,0.96,2,0.8,0.92,0.2,1.03,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Religious Facility,Religious,"Worship - pulpit, choir",religious facility_pulpit,33,0.96,2,0.625,0.97,0.166666667,0.4,0,0,0.208333333,0.91,,pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Dressing/Fitting Room,retail_dressing_room,22,0.96,6,0.434782609,0.6,0.565217391,0.6,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Retail Facilities,WHOLE BULDING ANALYSIS ONLY,Barber & Beauty Parlor,whole_building_barber_salon,33,0.96,4,0.727272727,0.74,0.272727273,0.82,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Retail Facilities,WHOLE BULDING ANALYSIS ONLY,Manicure,whole_building_nail_salon,38.5,0.96,4,0.727272727,0.74,0.272727273,0.82,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Mall Concourse,retail_mall_concourse,22,0.96,2,0.705882353,0.97,0,0,0.294117647,0.4,0,0.75,,pnnl_90_1_lighting_subcommittee_model
Retail Facilities,WHOLE BULDING ANALYSIS ONLY,Massage,whole_building_massage,33,0.96,6,0.727272727,0.89,0.272727273,0.82,0,0,0,0,,pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Personal Services Sales Area,retail_personal_services_sales_area,25.3,0.96,4,0.9,0.59,0.06,0.85,0,0,0.04,0.56,"changed general fraction to 0.9, task fraction to 0.06, wall wash fraction to 0.04",pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Mass Merchandising Sales Area,retail_mass_merchandising_sales_area,45.1,0.96,2,0.9,0.81,0.1,0.81,0,0,0,0,"changed general fraction to 0.9, task fraction to 0.1",pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Retail 1 / Supermarket Sales Area,retail_supermarket_sales_area,72.6,0.96,2,0.9,0.59,0.06,0.83,0,0,0.04,0.83,"changed general fraction to 0.9, task fraction to 0.06, wall wash fraction to 0.04",pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Retail 2 / Specialty Store Sales Area,retail_specialty_store_sales_area,39.6,0.96,4,0.9,0.44,0.06,0.76,0,0,0.04,0.76,"changed general fraction to 0.9, task fraction to 0.06, wall wash fraction to 0.04",pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Retail 3 / Department Store Sales Area,retail_department_store_sales_area,55,0.96,2,0.9,0.79,0.06,0.97,0,0,0.04,0.75,"changed general fraction to 0.9, task fraction to 0.06, wall wash fraction to 0.04",pnnl_90_1_lighting_subcommittee_model
Retail Facilities,Retail,Retail 4 / Fine Merchandise Sales Area,retail_fine_merchandise_sales_area,31.9,0.96,4,0.9,0.91,0.06,0.76,0,0,0.04,0.76,"changed general fraction to 0.9, task fraction to 0.06, wall wash fraction to 0.04",pnnl_90_1_lighting_subcommittee_model
