prototype_space_type,prototype_lighting_space_type
apartment,guest_room
attic,na
audience_seating_auditorium,audience_seating_area_education_auditorium
classroom,classroom
classroom_workshop,classroom_workshop
computer_room,computer_room
conference_meeting_multipurpose,conference_meeting_multipurpose
corridor_all_other,corridor_all_other
healthcare_corridor,healthcare_corridor
dining_area_all_other,dining_areas_all_other
dining_area_cafeteria,dining_areas_cafeteria_or_fast_food
dining_area_family_dining,dining_areas_family_dining
dining_area_lounge_dining,dining_areas_lounge_dining
electrical_mechanical,electrical_mechanical
elevator,whole_building_elevator_lobby
emergency_room,healthcare_emergency_room
exercise_room,fitness_center_exercise_area
guest_room,guest_room
gymnasium,fitness_center_playing_area
healthcare_lounge_breakroom,healthcare_lounge_breakroom
healthcare_storage_active_50ft2_to_1000ft2,healthcare_storage
imaging,healthcare_imaging
imaging_control,healthcare_imaging_equipment_control_room
kitchen_with_dishwashing,food_preparation
kitchen_without_dishwashing,food_preparation
laboratory,laboratory_medical_industrial_research
laundry,laundry_washing_area
lobby_all_other,lobby_all_other
lobby_hotel,lobby_hotel
lounge_breakroom,lounge_breakroom_all_other
mri,healthcare_imaging
nurse_station,healthcare_nurse_station
office_enclosed_less_than_250ft2,office_enclosed_less_than_250ft2
office_open,office_open
operating_room,healthcare_operating_room
patient_exam,healthcare_patient_room
patient_room,healthcare_patient_room
physical_therapy,healthcare_physical_therapy
copy_print_room,copy_print_room
recovery,healthcare_recovery
restroom,restroom
retail,retail_mass_merchandising_sales_area
server_room,copy_print_room
stairway,stairway
stairwell,stairwell
storage_active_50ft2_to_1000ft2,storage_active_50ft2_to_1000ft2
warehouse_bulk_storage,warehouse_bulk_material
warehouse_fine_storage,warehouse_fine_material
whole_building_library,library_reading_area
whole_building_office,office_open
whole_building_retail,retail_sales_area
