building_type,space_type,prototype_space_type
Retail,Retail,retail
Retail,Core_Retail,retail
Retail,Front_Retail,retail
SecondarySchool,Auditorium,audience_seating_auditorium
SecondarySchool,Cafeteria,dining_area_cafeteria
SecondarySchool,Classroom,classroom
SecondarySchool,ComputerRoom,computer_room
SecondarySchool,Corridor,corridor_all_other
SecondarySchool,Gym,gymnasium
SecondarySchool,Gym - audience,gymnasium
SecondarySchool,Library,whole_building_library
SecondarySchool,Lobby,lobby_all_other
SecondarySchool,Mechanical,electrical_mechanical
SecondarySchool,Office,office_enclosed_less_than_250ft2
SecondarySchool,Restroom,restroom
SecondarySchool,Kitchen,kitchen_with_dishwashing
SmallHotel,Lobby,lobby_hotel
SmallHotel,Elec/MechRoom,electrical_mechanical
SmallHotel,ElevatorCore,elevator
SmallHotel,ElevatorCore4,elevator
SmallHotel,GuestRoom,guest_room
SmallHotel,GuestRoom123Occ,guest_room
SmallHotel,GuestRoom123Vac,guest_room
SmallHotel,GuestRoom4Occ,guest_room
SmallHotel,GuestRoom4Vac,guest_room
SmallHotel,Laundry,laundry
SmallHotel,Meeting,conference_meeting_multipurpose
SmallHotel,Office,office_enclosed_less_than_250ft2
SmallHotel,PublicRestroom,restroom
SmallHotel,StaffLounge,lounge_breakroom
SmallHotel,Stair,stairwell
SmallHotel,Stair4,stairwell
SmallHotel,Storage,storage_active_50ft2_to_1000ft2
SmallHotel,Storage4Front,storage_active_50ft2_to_1000ft2
SmallHotel,Storage4Rear,storage_active_50ft2_to_1000ft2
SmallHotel,Corridor,corridor_all_other
SmallHotel,Corridor4,corridor_all_other
SmallHotel,Exercise,exercise_room
SmallHotel,GuestLounge,lounge_breakroom
SmallHotel,Mechanical,electrical_mechanical
StripMall,Strip mall - type 0A,whole_building_retail
StripMall,Strip mall - type 0B,whole_building_retail
StripMall,Strip mall - type 1,whole_building_retail
StripMall,Strip mall - type 2,whole_building_retail
StripMall,Strip mall - type 3,whole_building_retail
Warehouse,Fine,warehouse_fine_storage
Warehouse,Bulk,warehouse_bulk_storage
Warehouse,Office,office_enclosed_less_than_250ft2
Asm,Auditorium,audience_seating_auditorium
ASm,OfficeGeneral,office_open
ECC,Classroom,classroom
ECC,CompRoomClassRm,computer_room
ECC,Shop,classroom_workshop
ECC,Dining,dining_area_cafeteria
ECC,Kitchen,kitchen_with_dishwashing
ECC,OfficeGeneral,office_open
EPr,Classroom,classroom
EPr,CorridorStairway,corridor_all_other
EPr,Dining,dining_area_cafeteria
EPr,Gymnasium,gymnasium
EPr,Kitchen,kitchen_with_dishwashing
ERC,Classroom,classroom
ESe,Classroom,classroom
ESe,CompRoomClassRm,computer_room
ESe,CorridorStairway,corridor_all_other
ESe,Dining,dining_area_cafeteria
ESe,Gymnasium,gymnasium
ESe,Kitchen,kitchen_with_dishwashing
ESe,OfficeGeneral,office_open
EUn,Dining,dining_area_cafeteria
EUn,Classroom,classroom
EUn,OfficeGeneral,office_open
EUn,CompRoomClassRm,computer_room
EUn,Kitchen,kitchen_with_dishwashing
EUn,CorridorStairway,corridor_all_other
EUn,FacMaint,warehouse_bulk_storage
EUn,DormitoryRoom,guest_room
Hsp,HspSurgOutptLab,operating_room
Hsp,Dining,dining_area_cafeteria
Hsp,Kitchen,kitchen_with_dishwashing
Hsp,OfficeGeneral,office_open
Hsp,PatientRoom,patient_room
Htl,Dining,dining_area_family_dining
Htl,BarCasino,lounge_breakroom
Htl,HotelLobby,lobby_hotel
Htl,OfficeGeneral,office_open
Htl,GuestRmCorrid,corridor_all_other
Htl,Laundry,laundry
Htl,GuestRmOcc,guest_room
Htl,GuestRmUnOcc,guest_room
Htl,Kitchen,kitchen_with_dishwashing
MBT,CompRoomData,server_room
MBT,Laboratory,laboratory
MBT,CorridorStairway,corridor_all_other
MBT,Conference,conference_meeting_multipurpose
MBT,Dining,dining_area_cafeteria
MBT,OfficeOpen,office_open
MBT,Kitchen,kitchen_with_dishwashing
MLI,StockRoom,warehouse_fine_storage
MLI,Work,classroom_workshop
Mtl,OfficeGeneral,office_open
Mtl,GuestRmCorrid,corridor_all_other
Mtl,Laundry,laundry
Mtl,GuestRmOcc,guest_room
Mtl,GuestRmUnOcc,guest_room
Nrs,CorridorStairway,corridor_all_other
Nrs,Dining,dining_area_cafeteria
Nrs,Kitchen,kitchen_with_dishwashing
Nrs,OfficeGeneral,office_open
Nrs,PatientRoom,patient_room
OfL,LobbyWaiting,lobby_all_other
OfL,OfficeSmall,office_enclosed_less_than_250ft2
OfL,OfficeOpen,office_open
OfL,MechElecRoom,electrical_mechanical
OfS,Hall,corridor_all_other
OfS,OfficeSmall,office_enclosed_less_than_250ft2
RFF,Dining,dining_area_family_dining
RFF,Kitchen,kitchen_without_dishwashing
RFF,LobbyWaiting,lobby_all_other
RFF,Restroom,restroom
RSD,Restroom,restroom
RSD,Dining,dining_area_family_dining
RSD,LobbyWaiting,lobby_all_other
RSD,Kitchen,kitchen_without_dishwashing
Rt3,RetailSales,retail
RtL,OfficeGeneral,office_open
RtL,Work,warehouse_fine_storage
RtL,StockRoom,warehouse_fine_storage
RtL,RetailSales,retail
RtL,Kitchen,kitchen_without_dishwashing
RtS,RetailSales,retail
RtS,StockRoom,warehouse_fine_storage
SCn,WarehouseCond,warehouse_bulk_storage
SUn,WarehouseUnCond,warehouse_bulk_storage
