FUNC __main__.main 227.7188 1717631807.5411 254.3594 1717631808.2755 0
CMDLINE /Users/wkuang/mambaforge/envs/comstockpostproc/bin/python3.9 test_single_upgrade.py
MEM 0.046875 1717631806.2671
MEM 33.015625 1717631806.3723
MEM 50.656250 1717631806.4775
MEM 83.359375 1717631806.5827
MEM 104.468750 1717631806.6848
MEM 131.140625 1717631806.7900
MEM 149.859375 1717631806.9028
MEM 162.343750 1717631807.0091
MEM 172.375000 1717631807.1106
MEM 187.109375 1717631807.2157
MEM 201.281250 1717631807.3210
MEM 216.390625 1717631807.4261
MEM 226.265625 1717631807.5313
MEM 248.718750 1717631807.6366
MEM 248.843750 1717631807.7417
MEM 250.906250 1717631807.8430
MEM 253.234375 1717631807.9482
MEM 253.937500 1717631808.0535
MEM 254.031250 1717631808.1562
MEM 254.359375 1717631808.2594
MEM 255.312500 1717631808.3632
