standard_building_type,standard_space_type,lpd_reduction
SecondarySchool,Auditorium,0.1
SecondarySchool,Cafeteria,0.35
SecondarySchool,Classroom,0.3
SecondarySchool,ComputerRoom,0.25
SecondarySchool,Corridor,0.25
SecondarySchool,Gym,0.35
SecondarySchool,Kitchen,0.3
SecondarySchool,Library,0.15
SecondarySchool,Lobby,0.25
SecondarySchool,Mechanical,0.3
SecondarySchool,Office,0.15
SecondarySchool,Restroom,0.45
PrimarySchool,Cafeteria,0.35
PrimarySchool,Classroom,0.3
PrimarySchool,ComputerRoom,0.25
PrimarySchool,Corridor,0.25
PrimarySchool,Gym,0.35
PrimarySchool,Kitchen,0.3
PrimarySchool,Library,0.15
PrimarySchool,Lobby,0.25
PrimarySchool,Mechanical,0.3
PrimarySchool,Office,0.15
PrimarySchool,Restroom,0.45
SmallOffice,WholeBuilding - Sm Office,0.15
MediumOffice,WholeBuilding - Md Office,0.15
MediumOffice,OfficeLarge Data Center,0
LargeOffice,WholeBuilding - Lg Office,0.15
LargeOffice,OfficeLarge Data Center,0
LargeOffice,OfficeLarge Main Data Center,0
SmallHotel,Corridor,0.25
SmallHotel,Elec/MechRoom,0.3
SmallHotel,ElevatorCore,0
SmallHotel,Exercise,0.35
SmallHotel,GuestLounge,0
SmallHotel,GuestRoom123Occ,0
SmallHotel,GuestRoom123Vac,0.45
SmallHotel,Laundry,0.1
SmallHotel,Mechanical,0.3
SmallHotel,Meeting,0
SmallHotel,Office,0.15
SmallHotel,PublicRestroom,0.45
SmallHotel,StaffLounge,0
SmallHotel,Stair,0.75
SmallHotel,Storage,0.45
LargeHotel,Banquet,0.35
LargeHotel,Basement,0
LargeHotel,Cafe,0.35
LargeHotel,Corridor,0.25
LargeHotel,GuestRoom,0.45
LargeHotel,Kitchen,0.3
LargeHotel,Laundry,0.1
LargeHotel,Lobby,0.25
LargeHotel,Mechanical,0.3
LargeHotel,Retail,0.1
LargeHotel,Storage,0.45
Warehouse,Bulk,0.45
Warehouse,Fine,0.45
