PUBID,COMSTOCKBLDGTYPE,PBAPLUS_Named,SQFT,FINALWT,FINALWT_SQFT,CENDIV,PUBCLIM,cstock_sys_type,primary_htg_fuel,secondary_htg_fuel,pct_heated,pct_cooled,main_htg_eq,main_clg_eq,chiller_type,chiller_pct,district_cw?,district_cw_pct,boiler?,pct_boiler,furnace?,pct_furnace,hp_rtu?,hp_zone?,hp_type,pct_hp,fcu?,ptac?,res_furn?,res_ac?,unit_heater?,baseboard_htg?,evap_cooling?,pct_evap_cool,has_vav?,doas?,has_psz?,frac_en_fuel,frac_htg_en_fuel,zone_hp_catch,bin_id
1,large_office,Government office,210000,2.17,455700.0,South Atlantic,3,VAV chiller with district hot water reheat,District_Heating,none,100.0,100.0,District steam heating system,Electric chiller,water-cooled,100.0,False,999.0,False,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,True,False,999.0,True,False,False,0.0026353519928799915,,False,1
3,outpatient,Medical office (diagnostic),2100,1218.03,2557863.0,South Atlantic,4,PSZ-HP,Electricity,none,100.0,100.0,Electric packaged unit,Packaged unit,none,999.0,False,999.0,False,999.0,False,999.0,True,False,VRF,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.0,0.0,False,0
4,warehouse,Distribution/shipping center,240000,69.6,16703999.999999998,West South Central,5,PVAV with gas boiler reheat,Natural_Gas,Electricity,5.0,45.0,Natural gas boiler,Packaged unit,none,999.0,False,999.0,True,999.0,False,999.0,False,False,none,999.0,False,False,True,True,False,True,False,999.0,True,False,True,0.3802905101584387,0.9867928150377688,False,1
5,warehouse,Distribution/shipping center,295000,199.58,58876100.0,Middle Atlantic,3,PSZ-AC with gas coil,Natural_Gas,none,100.0,999.0,Natural gas packaged unit,imputed,none,999.0,False,999.0,False,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.7240621089247423,1.0,False,1
6,primary_school,Elementary school,94000,99.04,9309760.0,South Atlantic,3,VAV chiller with gas boiler reheat,Natural_Gas,none,100.0,100.0,Natural gas boiler,Electric chiller,water-cooled,100.0,False,999.0,True,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,True,False,False,0.31355880307466594,1.0,False,1
7,secondary_school,Middle/junior high school,41000,324.59,13308189.999999998,Mountain,5,PSZ-AC with electric coil,Electricity,none,100.0,100.0,Electric packaged unit,Packaged unit,none,999.0,False,999.0,False,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.0,0.0,False,0
9,retail,Retail store,96000,245.01,23520960.0,Mountain,2,PSZ-AC with gas coil,Natural_Gas,none,100.0,100.0,Natural gas packaged unit,Packaged unit,none,999.0,False,999.0,False,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.16938644793056962,1.0,False,1
11,retail,Retail store,7500,14.9,111750.0,Middle Atlantic,3,PSZ-AC with gas coil,Natural_Gas,none,100.0,100.0,Natural gas furnace,Packaged unit,none,999.0,False,999.0,False,999.0,True,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.41433309490877684,1.0,False,0
13,medium_office,Administrative/professional office,30500,621.37,18951785.0,Mountain,3,PVAV with gas boiler reheat,Natural_Gas,Electricity,100.0,100.0,Natural gas packaged unit,Packaged unit,none,999.0,False,999.0,True,999.0,False,999.0,False,True,ASHP,20.0,True,False,False,True,False,False,False,999.0,True,False,True,0.6879486625189497,0.9835994273629327,False,0
14,primary_school,Elementary school,8000,4468.96,35751680.0,West South Central,4,PSZ-AC with electric coil,Electricity,none,100.0,100.0,Electric packaged unit,Packaged unit,none,999.0,False,999.0,True,5.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.0,0.0,False,0
15,warehouse,Non-refrigerated warehouse,3000,3075.23,9225690.0,East North Central,2,PSZ-AC with gas coil,Natural_Gas,Electricity,100.0,5.0,Natural gas packaged unit,Individual air conditioner,none,999.0,False,999.0,False,999.0,False,999.0,False,False,none,999.0,False,True,False,True,False,True,False,999.0,False,False,True,0.6359233025317561,0.8924691651708802,False,0
16,retail,Retail store,8500,2934.43,24942655.0,Mountain,5,PSZ-AC with electric coil,Electricity,none,90.0,70.0,Electric packaged unit,Packaged unit,none,999.0,False,999.0,False,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,False,False,True,0.0,0.0,False,0
19,large_office,Administrative/professional office,184000,7.59,1396560.0,East South Central,4,VAV chiller with gas boiler reheat,Natural_Gas,none,100.0,100.0,Natural gas packaged unit,Electric chiller,water-cooled,90.0,False,999.0,True,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,True,False,999.0,True,False,True,0.36771133368412406,1.0,False,0
21,large_office,Government office,240000,15.06,3614400.0,East North Central,3,VAV chiller with gas boiler reheat,Natural_Gas,none,100.0,100.0,Natural gas boiler,Electric chiller,water-cooled,100.0,False,999.0,True,999.0,False,999.0,False,False,none,999.0,False,False,False,False,False,False,False,999.0,True,False,False,0.443576794973899,1.0,False,1
