PUBID,COMSTOCKBLDGTYPE,SQFT,FINALWT,FINALWT_SQFT,CENDIV,PUBCLIM,cstock_sys_type,primary_htg_fuel,secondary_htg_fuel,pct_heated,pct_cooled,main_htg_eq,main_clg_eq,chiller_type,chiller_pct,district_cw?,district_cw_pct,boiler?,pct_boiler,furnace?,pct_furnace,hp_rtu?,hp_zone?,hp_type,pct_hp,fcu?,ptac?,res_furn?,res_ac?,unit_heater?,baseboard_htg?,evap_cooling?,pct_evap_cool,has_vav?,doas?,has_psz?,frac_en_fuel,frac_htg_en_fuel
2,strip_mall,114000,143.9463491,16409883.8,South Atlantic,Mixed-humid,PVAV with gas heat with electric reheat,Natural_Gas,Electricity,100,100,imputed,imputed,none,999,FALSE,999,FALSE,999,FALSE,999,FALSE,FALSE,none,999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,TRUE,FALSE,TRUE,0.083518743,0.7381698089804019
4,large_hotel,500000,17.19125821,8595629.107,West South Central,Mixed-humid,DOAS with fan coil district chilled water with district hot water,District_Heating,Electricity,100,100,District steam or hot water piped in from outside the building,District chilled water piped in from outside the building,none,999,TRUE,85,FALSE,999,FALSE,999,FALSE,FALSE,none,999,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,999,FALSE,FALSE,FALSE,0.12005214222320275,0
7,hospital,800000,2.860252171,2288201.737,West South Central,Hot-dry/Mixed-dry/Hot-humid,VAV district chilled water with district hot water reheat,District_Heating,none,100,99,District steam or hot water piped in from outside the building,District chilled water piped in from outside the building,none,999,TRUE,100,FALSE,999,FALSE,999,FALSE,FALSE,none,999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,TRUE,FALSE,FALSE,0.31832160506050433,
9,medium_office,37500,653.8431069,24519116.51,West South Central,Hot-dry/Mixed-dry/Hot-humid,PSZ-AC with gas coil,Natural_Gas,Electricity,100,100,Packaged central unit (roof mounted),Packaged air conditioning units (other than heat pumps),none,999,FALSE,999,FALSE,999,FALSE,999,FALSE,FALSE,none,999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,FALSE,FALSE,TRUE,0.2511656353069464,0.9718484655565186
10,large_office,600000,23.25117166,13950702.99,South Atlantic,Mixed-humid,VAV chiller with PFP boxes,Electricity,none,100,100,Packaged central unit (roof mounted),Central chillers inside (or adjacent to) the building that chill water for air conditioning,water-cooled,80,FALSE,999,FALSE,999,FALSE,999,FALSE,FALSE,none,999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,TRUE,FALSE,TRUE,0.005395531,0
11,small_office,10250,1031.346329,10571299.88,Mountain,Very cold/Cold,PSZ-AC with gas coil,Natural_Gas,none,100,80,Packaged central unit (roof mounted),Packaged air conditioning units (other than heat pumps),none,999,FALSE,999,FALSE,999,FALSE,999,FALSE,FALSE,none,999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,FALSE,FALSE,TRUE,0.32530160076493686,1
12,full_service_restaurant,6200,953.1877766,5909764.215,East South Central,Hot-dry/Mixed-dry/Hot-humid,none,none,none,999,95,imputed,Packaged air conditioning units (other than heat pumps),none,999,FALSE,999,FALSE,999,FALSE,999,FALSE,FALSE,none,999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,FALSE,FALSE,TRUE,0,
15,secondary_school,370000,90.62200083,33530140.31,West South Central,Hot-dry/Mixed-dry/Hot-humid,VAV chiller with gas boiler reheat,Natural_Gas,Electricity,100,100,Boilers inside (or adjacent to) the building that produce steam or hot water,Central chillers inside (or adjacent to) the building that chill water for air conditioning,water-cooled,75,FALSE,999,TRUE,75,FALSE,999,FALSE,FALSE,none,999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999,TRUE,FALSE,FALSE,0.2159244427902365,0.9788489560739035
16,primary_school,104000,139.1699549,14473675.31,West North Central,Mixed-humid,VAV air-cooled chiller with gas boiler reheat,Natural_Gas,none,100,100,Boilers inside (or adjacent to) the building that produce steam or hot water,imputed,air-cooled,100,FALSE,999,TRUE,95,FALSE,999,FALSE,FALSE,none,999,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,999,TRUE,FALSE,FALSE,0.4439164516122045,1
18,small_office,6000,1451.617423,8709704.539,West South Central,Hot-dry/Mixed-dry/Hot-humid,Residential AC with residential forced air furnace,Natural_Gas,none,50,50,"Furnaces that heat air directly, without using steam or hot water",Residential-type central air conditioners (other than heat pumps) that cool air directly and circulate it without using chilled water,none,999,FALSE,999,FALSE,999,TRUE,100,FALSE,FALSE,none,999,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,999,FALSE,FALSE,FALSE,0.44473631768691463,1
