Twb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Clg Pow [W]
282.8166667,280.3722222,1.510231821,0.001230259,4641.1775
282.8166667,280.3722222,1.510231821,0.001514165,4484.8431
282.8166667,280.3722222,1.510231821,0.001703435,4406.6759
282.8166667,280.3722222,1.510231821,0.001892706,4348.0505
282.8166667,280.3722222,1.510231821,0.001987341,4318.7378
282.8166667,280.3722222,1.510231821,0.002081976,4289.4251
282.8166667,280.3722222,1.510231821,0.002271247,4250.3415
282.8166667,280.3722222,1.604621309,0.001230259,4650.5065
282.8166667,280.3722222,1.604621309,0.001514165,4493.85786
282.8166667,280.3722222,1.604621309,0.001703435,4415.53354
282.8166667,280.3722222,1.604621309,0.001892706,4356.7903
282.8166667,280.3722222,1.604621309,0.001987341,4327.41868
282.8166667,280.3722222,1.604621309,0.002081976,4298.04706
282.8166667,280.3722222,1.604621309,0.002271247,4258.8849
282.8166667,280.3722222,1.699010798,0.001230259,4655.171
282.8166667,280.3722222,1.699010798,0.001514165,4498.36524
282.8166667,280.3722222,1.699010798,0.001703435,4419.96236
282.8166667,280.3722222,1.699010798,0.001892706,4361.1602
282.8166667,280.3722222,1.699010798,0.001987341,4331.75912
282.8166667,280.3722222,1.699010798,0.002081976,4302.35804
282.8166667,280.3722222,1.699010798,0.002271247,4263.1566
282.8166667,280.3722222,1.793400287,0.001230259,4659.8355
282.8166667,280.3722222,1.793400287,0.001514165,4502.87262
282.8166667,280.3722222,1.793400287,0.001703435,4424.39118
282.8166667,280.3722222,1.793400287,0.001892706,4365.5301
282.8166667,280.3722222,1.793400287,0.001987341,4336.09956
282.8166667,280.3722222,1.793400287,0.002081976,4306.66902
282.8166667,280.3722222,1.793400287,0.002271247,4267.4283
282.8166667,280.3722222,1.887789776,0.001230259,4664.5
282.8166667,280.3722222,1.887789776,0.001514165,4507.38
282.8166667,280.3722222,1.887789776,0.001703435,4428.82
282.8166667,280.3722222,1.887789776,0.001892706,4369.9
282.8166667,280.3722222,1.887789776,0.001987341,4340.44
282.8166667,280.3722222,1.887789776,0.002081976,4310.98
282.8166667,280.3722222,1.887789776,0.002271247,4271.7
282.8166667,280.3722222,2.076568753,0.001230259,4673.829
282.8166667,280.3722222,2.076568753,0.001514165,4516.39476
282.8166667,280.3722222,2.076568753,0.001703435,4437.67764
282.8166667,280.3722222,2.076568753,0.001892706,4378.6398
282.8166667,280.3722222,2.076568753,0.001987341,4349.12088
282.8166667,280.3722222,2.076568753,0.002081976,4319.60196
282.8166667,280.3722222,2.076568753,0.002271247,4280.2434
282.8166667,280.3722222,2.170958242,0.001230259,4678.4935
282.8166667,280.3722222,2.170958242,0.001514165,4520.90214
282.8166667,280.3722222,2.170958242,0.001703435,4442.10646
282.8166667,280.3722222,2.170958242,0.001892706,4383.0097
282.8166667,280.3722222,2.170958242,0.001987341,4353.46132
282.8166667,280.3722222,2.170958242,0.002081976,4323.91294
282.8166667,280.3722222,2.170958242,0.002271247,4284.5151
282.8166667,280.3722222,2.265347731,0.001230259,4683.158
282.8166667,280.3722222,2.265347731,0.001514165,4525.40952
282.8166667,280.3722222,2.265347731,0.001703435,4446.53528
282.8166667,280.3722222,2.265347731,0.001892706,4387.3796
282.8166667,280.3722222,2.265347731,0.001987341,4357.80176
282.8166667,280.3722222,2.265347731,0.002081976,4328.22392
282.8166667,280.3722222,2.265347731,0.002271247,4288.7868
282.8166667,285.9277778,1.510231821,0.001230259,5198.1188
282.8166667,285.9277778,1.510231821,0.001514165,5041.7844
282.8166667,285.9277778,1.510231821,0.001703435,4963.6172
282.8166667,285.9277778,1.510231821,0.001892706,4904.9918
282.8166667,285.9277778,1.510231821,0.001987341,4875.6791
282.8166667,285.9277778,1.510231821,0.002081976,4856.1373
282.8166667,285.9277778,1.510231821,0.002271247,4807.2828
282.8166667,285.9277778,1.604621309,0.001230259,5208.56728
282.8166667,285.9277778,1.604621309,0.001514165,5051.91864
282.8166667,285.9277778,1.604621309,0.001703435,4973.59432
282.8166667,285.9277778,1.604621309,0.001892706,4914.85108
282.8166667,285.9277778,1.604621309,0.001987341,4885.47946
282.8166667,285.9277778,1.604621309,0.002081976,4865.89838
282.8166667,285.9277778,1.604621309,0.002271247,4816.94568
282.8166667,285.9277778,1.699010798,0.001230259,5213.79152
282.8166667,285.9277778,1.699010798,0.001514165,5056.98576
282.8166667,285.9277778,1.699010798,0.001703435,4978.58288
282.8166667,285.9277778,1.699010798,0.001892706,4919.78072
282.8166667,285.9277778,1.699010798,0.001987341,4890.37964
282.8166667,285.9277778,1.699010798,0.002081976,4870.77892
282.8166667,285.9277778,1.699010798,0.002271247,4821.77712
282.8166667,285.9277778,1.793400287,0.001230259,5219.01576
282.8166667,285.9277778,1.793400287,0.001514165,5062.05288
282.8166667,285.9277778,1.793400287,0.001703435,4983.57144
282.8166667,285.9277778,1.793400287,0.001892706,4924.71036
282.8166667,285.9277778,1.793400287,0.001987341,4895.27982
282.8166667,285.9277778,1.793400287,0.002081976,4875.65946
282.8166667,285.9277778,1.793400287,0.002271247,4826.60856
282.8166667,285.9277778,1.887789776,0.001230259,5224.24
282.8166667,285.9277778,1.887789776,0.001514165,5067.12
282.8166667,285.9277778,1.887789776,0.001703435,4988.56
282.8166667,285.9277778,1.887789776,0.001892706,4929.64
282.8166667,285.9277778,1.887789776,0.001987341,4900.18
282.8166667,285.9277778,1.887789776,0.002081976,4880.54
282.8166667,285.9277778,1.887789776,0.002271247,4831.44
282.8166667,285.9277778,2.076568753,0.001230259,5234.68848
282.8166667,285.9277778,2.076568753,0.001514165,5077.25424
282.8166667,285.9277778,2.076568753,0.001703435,4998.53712
