Tdb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Htg Pow [W]
284.8166667,269.2611111,1.510231821,0.001230259,5485.486922
284.8166667,269.2611111,1.510231821,0.001514165,5550.69009
284.8166667,269.2611111,1.510231821,0.001703435,5588.888156
284.8166667,269.2611111,1.510231821,0.001892706,5609.027025
284.8166667,269.2611111,1.510231821,0.001987341,5624.2368
284.8166667,269.2611111,1.510231821,0.002081976,5633.25
284.8166667,269.2611111,1.510231821,0.002271247,5651.2764
284.8166667,269.2611111,1.604621309,0.001230259,5373.016547
284.8166667,269.2611111,1.604621309,0.001514165,5436.882837
284.8166667,269.2611111,1.604621309,0.001703435,5474.297719
284.8166667,269.2611111,1.604621309,0.001892706,5494.023675
284.8166667,269.2611111,1.604621309,0.001987341,5508.9216
284.8166667,269.2611111,1.604621309,0.002081976,5517.75
284.8166667,269.2611111,1.604621309,0.002271247,5535.4068
284.8166667,269.2611111,1.699010798,0.001230259,5275.883041
284.8166667,269.2611111,1.699010798,0.001514165,5338.594755
284.8166667,269.2611111,1.699010798,0.001703435,5375.33325
284.8166667,269.2611111,1.699010798,0.001892706,5394.7026
284.8166667,269.2611111,1.699010798,0.001987341,5409.3312
284.8166667,269.2611111,1.699010798,0.002081976,5418
284.8166667,269.2611111,1.699010798,0.002271247,5435.3376
284.8166667,269.2611111,1.793400287,0.001230259,5188.974115
284.8166667,269.2611111,1.793400287,0.001514165,5250.652787
284.8166667,269.2611111,1.793400287,0.001703435,5286.786094
284.8166667,269.2611111,1.793400287,0.001892706,5305.836375
284.8166667,269.2611111,1.793400287,0.001987341,5320.224
284.8166667,269.2611111,1.793400287,0.002081976,5328.75
284.8166667,269.2611111,1.793400287,0.002271247,5345.802
284.8166667,269.2611111,1.887789776,0.001230259,5112.289769
284.8166667,269.2611111,1.887789776,0.001514165,5173.056933
284.8166667,269.2611111,1.887789776,0.001703435,5208.65625
284.8166667,269.2611111,1.887789776,0.001892706,5227.425
284.8166667,269.2611111,1.887789776,0.001987341,5241.6
284.8166667,269.2611111,1.887789776,0.002081976,5250
284.8166667,269.2611111,1.887789776,0.002271247,5266.8
284.8166667,269.2611111,2.076568753,0.001230259,4979.370235
284.8166667,269.2611111,2.076568753,0.001514165,5038.557453
284.8166667,269.2611111,2.076568753,0.001703435,5073.231188
284.8166667,269.2611111,2.076568753,0.001892706,5091.51195
284.8166667,269.2611111,2.076568753,0.001987341,5105.3184
284.8166667,269.2611111,2.076568753,0.002081976,5113.5
284.8166667,269.2611111,2.076568753,0.002271247,5129.8632
284.8166667,269.2611111,2.170958242,0.001230259,4923.135047
284.8166667,269.2611111,2.170958242,0.001514165,4981.653827
284.8166667,269.2611111,2.170958242,0.001703435,5015.935969
284.8166667,269.2611111,2.170958242,0.001892706,5034.010275
284.8166667,269.2611111,2.170958242,0.001987341,5047.6608
284.8166667,269.2611111,2.170958242,0.002081976,5055.75
284.8166667,269.2611111,2.170958242,0.002271247,5071.9284
284.8166667,269.2611111,2.265347731,0.001230259,4866.89986
284.8166667,269.2611111,2.265347731,0.001514165,4924.750201
284.8166667,269.2611111,2.265347731,0.001703435,4958.64075
284.8166667,269.2611111,2.265347731,0.001892706,4976.5086
284.8166667,269.2611111,2.265347731,0.001987341,4990.0032
284.8166667,269.2611111,2.265347731,0.002081976,4998
284.8166667,269.2611111,2.265347731,0.002271247,5013.9936
284.8166667,273.15,1.510231821,0.001230259,5687.3292
284.8166667,273.15,1.510231821,0.001514165,5750.4216
284.8166667,273.15,1.510231821,0.001703435,5786.4744
284.8166667,273.15,1.510231821,0.001892706,5804.5008
284.8166667,273.15,1.510231821,0.001987341,5822.5272
284.8166667,273.15,1.510231821,0.002081976,5831.5404
284.8166667,273.15,1.510231821,0.002271247,5849.5668
284.8166667,273.15,1.604621309,0.001230259,5570.7204
284.8166667,273.15,1.604621309,0.001514165,5632.5192
284.8166667,273.15,1.604621309,0.001703435,5667.8328
284.8166667,273.15,1.604621309,0.001892706,5685.4896
284.8166667,273.15,1.604621309,0.001987341,5703.1464
284.8166667,273.15,1.604621309,0.002081976,5711.9748
284.8166667,273.15,1.604621309,0.002271247,5729.6316
284.8166667,273.15,1.699010798,0.001230259,5470.0128
284.8166667,273.15,1.699010798,0.001514165,5530.6944
284.8166667,273.15,1.699010798,0.001703435,5565.3696
284.8166667,273.15,1.699010798,0.001892706,5582.7072
284.8166667,273.15,1.699010798,0.001987341,5600.0448
284.8166667,273.15,1.699010798,0.002081976,5608.7136
284.8166667,273.15,1.699010798,0.002271247,5626.0512
284.8166667,273.15,1.793400287,0.001230259,5379.906
284.8166667,273.15,1.793400287,0.001514165,5439.588
284.8166667,273.15,1.793400287,0.001703435,5473.692
284.8166667,273.15,1.793400287,0.001892706,5490.744
284.8166667,273.15,1.793400287,0.001987341,5507.796
284.8166667,273.15,1.793400287,0.002081976,5516.322
284.8166667,273.15,1.793400287,0.002271247,5533.374
284.8166667,273.15,1.887789776,0.001230259,5300.4
284.8166667,273.15,1.887789776,0.001514165,5359.2
284.8166667,273.15,1.887789776,0.001703435,5392.8
284.8166667,273.15,1.887789776,0.001892706,5409.6
284.8166667,273.15,1.887789776,0.001987341,5426.4
284.8166667,273.15,1.887789776,0.002081976,5434.8
284.8166667,273.15,1.887789776,0.002271247,5451.6
284.8166667,273.15,2.076568753,0.001230259,5162.5896
284.8166667,273.15,2.076568753,0.001514165,5219.8608
284.8166667,273.15,2.076568753,0.001703435,5252.5872
284.8166667,273.15,2.076568753,0.001892706,5268.9504
284.8166667,273.15,2.076568753,0.001987341,5285.3136
284.8166667,273.15,2.076568753,0.002081976,5293.4952
284.8166667,273.15,2.076568753,0.002271247,5309.8584
284.8166667,273.15,2.170958242,0.001230259,5104.2852
284.8166667,273.15,2.170958242,0.001514165,5160.9096
284.8166667,273.15,2.170958242,0.001703435,5193.2664
284.8166667,273.15,2.170958242,0.001892706,5209.4448
284.8166667,273.15,2.170958242,0.001987341,5225.6232
284.8166667,273.15,2.170958242,0.002081976,5233.7124
284.8166667,273.15,2.170958242,0.002271247,5249.8908
284.8166667,273.15,2.265347731,0.001230259,5045.9808
284.8166667,273.15,2.265347731,0.001514165,5101.9584
284.8166667,273.15,2.265347731,0.001703435,5133.9456
284.8166667,273.15,2.265347731,0.001892706,5149.9392
284.8166667,273.15,2.265347731,0.001987341,5165.9328
284.8166667,273.15,2.265347731,0.002081976,5173.9296
284.8166667,273.15,2.265347731,0.002271247,5189.9232
284.8166667,280.3722222,1.510231821,0.001230259,5813.514
284.8166667,280.3722222,1.510231821,0.001514165,5876.6064
284.8166667,280.3722222,1.510231821,0.001703435,5903.646
284.8166667,280.3722222,1.510231821,0.001892706,5930.6856
284.8166667,280.3722222,1.510231821,0.001987341,5939.6988
284.8166667,280.3722222,1.510231821,0.002081976,5948.712
284.8166667,280.3722222,1.510231821,0.002271247,5966.7384
284.8166667,280.3722222,1.604621309,0.001230259,5694.318
284.8166667,280.3722222,1.604621309,0.001514165,5756.1168
284.8166667,280.3722222,1.604621309,0.001703435,5782.602
284.8166667,280.3722222,1.604621309,0.001892706,5809.0872
284.8166667,280.3722222,1.604621309,0.001987341,5817.9156
284.8166667,280.3722222,1.604621309,0.002081976,5826.744
284.8166667,280.3722222,1.604621309,0.002271247,5844.4008
284.8166667,280.3722222,1.699010798,0.001230259,5591.376
284.8166667,280.3722222,1.699010798,0.001514165,5652.0576
284.8166667,280.3722222,1.699010798,0.001703435,5678.064
284.8166667,280.3722222,1.699010798,0.001892706,5704.0704
284.8166667,280.3722222,1.699010798,0.001987341,5712.7392
284.8166667,280.3722222,1.699010798,0.002081976,5721.408
284.8166667,280.3722222,1.699010798,0.002271247,5738.7456
284.8166667,280.3722222,1.793400287,0.001230259,5499.27
284.8166667,280.3722222,1.793400287,0.001514165,5558.952
284.8166667,280.3722222,1.793400287,0.001703435,5584.53
284.8166667,280.3722222,1.793400287,0.001892706,5610.108
284.8166667,280.3722222,1.793400287,0.001987341,5618.634
284.8166667,280.3722222,1.793400287,0.002081976,5627.16
284.8166667,280.3722222,1.793400287,0.002271247,5644.212
284.8166667,280.3722222,1.887789776,0.001230259,5418
284.8166667,280.3722222,1.887789776,0.001514165,5476.8
284.8166667,280.3722222,1.887789776,0.001703435,5502
284.8166667,280.3722222,1.887789776,0.001892706,5527.2
284.8166667,280.3722222,1.887789776,0.001987341,5535.6
284.8166667,280.3722222,1.887789776,0.002081976,5544
284.8166667,280.3722222,1.887789776,0.002271247,5560.8
284.8166667,280.3722222,2.076568753,0.001230259,5277.132
284.8166667,280.3722222,2.076568753,0.001514165,5334.4032
284.8166667,280.3722222,2.076568753,0.001703435,5358.948
284.8166667,280.3722222,2.076568753,0.001892706,5383.4928
284.8166667,280.3722222,2.076568753,0.001987341,5391.6744
284.8166667,280.3722222,2.076568753,0.002081976,5399.856
284.8166667,280.3722222,2.076568753,0.002271247,5416.2192
284.8166667,280.3722222,2.170958242,0.001230259,5217.534
284.8166667,280.3722222,2.170958242,0.001514165,5274.1584
284.8166667,280.3722222,2.170958242,0.001703435,5298.426
284.8166667,280.3722222,2.170958242,0.001892706,5322.6936
284.8166667,280.3722222,2.170958242,0.001987341,5330.7828
284.8166667,280.3722222,2.170958242,0.002081976,5338.872
284.8166667,280.3722222,2.170958242,0.002271247,5355.0504
284.8166667,280.3722222,2.265347731,0.001230259,5157.936
284.8166667,280.3722222,2.265347731,0.001514165,5213.9136
284.8166667,280.3722222,2.265347731,0.001703435,5237.904
284.8166667,280.3722222,2.265347731,0.001892706,5261.8944
284.8166667,280.3722222,2.265347731,0.001987341,5269.8912
284.8166667,280.3722222,2.265347731,0.002081976,5277.888
284.8166667,280.3722222,2.265347731,0.002271247,5293.8816
284.8166667,285.9277778,1.510231821,0.001230259,6083.91
284.8166667,285.9277778,1.510231821,0.001514165,6147.0024
284.8166667,285.9277778,1.510231821,0.001703435,6183.0552
284.8166667,285.9277778,1.510231821,0.001892706,6201.0816
284.8166667,285.9277778,1.510231821,0.001987341,6219.108
284.8166667,285.9277778,1.510231821,0.002081976,6228.1212
284.8166667,285.9277778,1.510231821,0.002271247,6246.1476
284.8166667,285.9277778,1.604621309,0.001230259,5959.17
284.8166667,285.9277778,1.604621309,0.001514165,6020.9688
284.8166667,285.9277778,1.604621309,0.001703435,6056.2824
284.8166667,285.9277778,1.604621309,0.001892706,6073.9392
284.8166667,285.9277778,1.604621309,0.001987341,6091.596
284.8166667,285.9277778,1.604621309,0.002081976,6100.4244
284.8166667,285.9277778,1.604621309,0.002271247,6118.0812
284.8166667,285.9277778,1.699010798,0.001230259,5851.44
284.8166667,285.9277778,1.699010798,0.001514165,5912.1216
284.8166667,285.9277778,1.699010798,0.001703435,5946.7968
284.8166667,285.9277778,1.699010798,0.001892706,5964.1344
284.8166667,285.9277778,1.699010798,0.001987341,5981.472
284.8166667,285.9277778,1.699010798,0.002081976,5990.1408
284.8166667,285.9277778,1.699010798,0.002271247,6007.4784
284.8166667,285.9277778,1.793400287,0.001230259,5755.05
284.8166667,285.9277778,1.793400287,0.001514165,5814.732
284.8166667,285.9277778,1.793400287,0.001703435,5848.836
284.8166667,285.9277778,1.793400287,0.001892706,5865.888
284.8166667,285.9277778,1.793400287,0.001987341,5882.94
284.8166667,285.9277778,1.793400287,0.002081976,5891.466
284.8166667,285.9277778,1.793400287,0.002271247,5908.518
284.8166667,285.9277778,1.887789776,0.001230259,5670
284.8166667,285.9277778,1.887789776,0.001514165,5728.8
284.8166667,285.9277778,1.887789776,0.001703435,5762.4
284.8166667,285.9277778,1.887789776,0.001892706,5779.2
284.8166667,285.9277778,1.887789776,0.001987341,5796
284.8166667,285.9277778,1.887789776,0.002081976,5804.4
284.8166667,285.9277778,1.887789776,0.002271247,5821.2
284.8166667,285.9277778,2.076568753,0.001230259,5522.58
284.8166667,285.9277778,2.076568753,0.001514165,5579.8512
284.8166667,285.9277778,2.076568753,0.001703435,5612.5776
284.8166667,285.9277778,2.076568753,0.001892706,5628.9408
284.8166667,285.9277778,2.076568753,0.001987341,5645.304
284.8166667,285.9277778,2.076568753,0.002081976,5653.4856
284.8166667,285.9277778,2.076568753,0.002271247,5669.8488
284.8166667,285.9277778,2.170958242,0.001230259,5460.21
284.8166667,285.9277778,2.170958242,0.001514165,5516.8344
284.8166667,285.9277778,2.170958242,0.001703435,5549.1912
284.8166667,285.9277778,2.170958242,0.001892706,5565.3696
284.8166667,285.9277778,2.170958242,0.001987341,5581.548
284.8166667,285.9277778,2.170958242,0.002081976,5589.6372
284.8166667,285.9277778,2.170958242,0.002271247,5605.8156
284.8166667,285.9277778,2.265347731,0.001230259,5397.84
284.8166667,285.9277778,2.265347731,0.001514165,5453.8176
284.8166667,285.9277778,2.265347731,0.001703435,5485.8048
284.8166667,285.9277778,2.265347731,0.001892706,5501.7984
284.8166667,285.9277778,2.265347731,0.001987341,5517.792
284.8166667,285.9277778,2.265347731,0.002081976,5525.7888
284.8166667,285.9277778,2.265347731,0.002271247,5541.7824
284.8166667,293.15,1.510231821,0.001230259,6579.636
284.8166667,293.15,1.510231821,0.001514165,6642.7284
284.8166667,293.15,1.510231821,0.001703435,6669.768
284.8166667,293.15,1.510231821,0.001892706,6696.8076
284.8166667,293.15,1.510231821,0.001987341,6705.8208
284.8166667,293.15,1.510231821,0.002081976,6714.834
284.8166667,293.15,1.510231821,0.002271247,6732.8604
284.8166667,293.15,1.604621309,0.001230259,6444.732
284.8166667,293.15,1.604621309,0.001514165,6506.5308
284.8166667,293.15,1.604621309,0.001703435,6533.016
284.8166667,293.15,1.604621309,0.001892706,6559.5012
284.8166667,293.15,1.604621309,0.001987341,6568.3296
284.8166667,293.15,1.604621309,0.002081976,6577.158
284.8166667,293.15,1.604621309,0.002271247,6594.8148
284.8166667,293.15,1.699010798,0.001230259,6328.224
284.8166667,293.15,1.699010798,0.001514165,6388.9056
284.8166667,293.15,1.699010798,0.001703435,6414.912
284.8166667,293.15,1.699010798,0.001892706,6440.9184
284.8166667,293.15,1.699010798,0.001987341,6449.5872
284.8166667,293.15,1.699010798,0.002081976,6458.256
284.8166667,293.15,1.699010798,0.002271247,6475.5936
284.8166667,293.15,1.793400287,0.001230259,6223.98
284.8166667,293.15,1.793400287,0.001514165,6283.662
284.8166667,293.15,1.793400287,0.001703435,6309.24
284.8166667,293.15,1.793400287,0.001892706,6334.818
284.8166667,293.15,1.793400287,0.001987341,6343.344
284.8166667,293.15,1.793400287,0.002081976,6351.87
284.8166667,293.15,1.793400287,0.002271247,6368.922
284.8166667,293.15,1.887789776,0.001230259,6132
284.8166667,293.15,1.887789776,0.001514165,6190.8
284.8166667,293.15,1.887789776,0.001703435,6216
284.8166667,293.15,1.887789776,0.001892706,6241.2
284.8166667,293.15,1.887789776,0.001987341,6249.6
284.8166667,293.15,1.887789776,0.002081976,6258
284.8166667,293.15,1.887789776,0.002271247,6274.8
284.8166667,293.15,2.076568753,0.001230259,5972.568
284.8166667,293.15,2.076568753,0.001514165,6029.8392
284.8166667,293.15,2.076568753,0.001703435,6054.384
284.8166667,293.15,2.076568753,0.001892706,6078.9288
284.8166667,293.15,2.076568753,0.001987341,6087.1104
284.8166667,293.15,2.076568753,0.002081976,6095.292
284.8166667,293.15,2.076568753,0.002271247,6111.6552
284.8166667,293.15,2.170958242,0.001230259,5905.116
284.8166667,293.15,2.170958242,0.001514165,5961.7404
284.8166667,293.15,2.170958242,0.001703435,5986.008
284.8166667,293.15,2.170958242,0.001892706,6010.2756
284.8166667,293.15,2.170958242,0.001987341,6018.3648
284.8166667,293.15,2.170958242,0.002081976,6026.454
284.8166667,293.15,2.170958242,0.002271247,6042.6324
284.8166667,293.15,2.265347731,0.001230259,5837.664
284.8166667,293.15,2.265347731,0.001514165,5893.6416
284.8166667,293.15,2.265347731,0.001703435,5917.632
284.8166667,293.15,2.265347731,0.001892706,5941.6224
284.8166667,293.15,2.265347731,0.001987341,5949.6192
284.8166667,293.15,2.265347731,0.002081976,5957.616
284.8166667,293.15,2.265347731,0.002271247,5973.6096
284.8166667,297.0388889,1.510231821,0.001230259,6813.9792
284.8166667,297.0388889,1.510231821,0.001514165,6877.0716
284.8166667,297.0388889,1.510231821,0.001703435,6904.1112
284.8166667,297.0388889,1.510231821,0.001892706,6931.1508
284.8166667,297.0388889,1.510231821,0.001987341,6940.164
284.8166667,297.0388889,1.510231821,0.002081976,6949.1772
284.8166667,297.0388889,1.510231821,0.002271247,6967.2036
284.8166667,297.0388889,1.604621309,0.001230259,6674.2704
284.8166667,297.0388889,1.604621309,0.001514165,6736.0692
284.8166667,297.0388889,1.604621309,0.001703435,6762.5544
284.8166667,297.0388889,1.604621309,0.001892706,6789.0396
284.8166667,297.0388889,1.604621309,0.001987341,6797.868
284.8166667,297.0388889,1.604621309,0.002081976,6806.6964
284.8166667,297.0388889,1.604621309,0.002271247,6824.3532
284.8166667,297.0388889,1.699010798,0.001230259,6553.6128
284.8166667,297.0388889,1.699010798,0.001514165,6614.2944
284.8166667,297.0388889,1.699010798,0.001703435,6640.3008
284.8166667,297.0388889,1.699010798,0.001892706,6666.3072
284.8166667,297.0388889,1.699010798,0.001987341,6674.976
284.8166667,297.0388889,1.699010798,0.002081976,6683.6448
284.8166667,297.0388889,1.699010798,0.002271247,6700.9824
284.8166667,297.0388889,1.793400287,0.001230259,6445.656
284.8166667,297.0388889,1.793400287,0.001514165,6505.338
284.8166667,297.0388889,1.793400287,0.001703435,6530.916
284.8166667,297.0388889,1.793400287,0.001892706,6556.494
284.8166667,297.0388889,1.793400287,0.001987341,6565.02
284.8166667,297.0388889,1.793400287,0.002081976,6573.546
284.8166667,297.0388889,1.793400287,0.002271247,6590.598
284.8166667,297.0388889,1.887789776,0.001230259,6350.4
284.8166667,297.0388889,1.887789776,0.001514165,6409.2
284.8166667,297.0388889,1.887789776,0.001703435,6434.4
284.8166667,297.0388889,1.887789776,0.001892706,6459.6
284.8166667,297.0388889,1.887789776,0.001987341,6468
284.8166667,297.0388889,1.887789776,0.002081976,6476.4
284.8166667,297.0388889,1.887789776,0.002271247,6493.2
284.8166667,297.0388889,2.076568753,0.001230259,6185.2896
284.8166667,297.0388889,2.076568753,0.001514165,6242.5608
284.8166667,297.0388889,2.076568753,0.001703435,6267.1056
284.8166667,297.0388889,2.076568753,0.001892706,6291.6504
284.8166667,297.0388889,2.076568753,0.001987341,6299.832
284.8166667,297.0388889,2.076568753,0.002081976,6308.0136
284.8166667,297.0388889,2.076568753,0.002271247,6324.3768
284.8166667,297.0388889,2.170958242,0.001230259,6115.4352
284.8166667,297.0388889,2.170958242,0.001514165,6172.0596
284.8166667,297.0388889,2.170958242,0.001703435,6196.3272
284.8166667,297.0388889,2.170958242,0.001892706,6220.5948
284.8166667,297.0388889,2.170958242,0.001987341,6228.684
284.8166667,297.0388889,2.170958242,0.002081976,6236.7732
284.8166667,297.0388889,2.170958242,0.002271247,6252.9516
284.8166667,297.0388889,2.265347731,0.001230259,6045.5808
284.8166667,297.0388889,2.265347731,0.001514165,6101.5584
284.8166667,297.0388889,2.265347731,0.001703435,6125.5488
284.8166667,297.0388889,2.265347731,0.001892706,6149.5392
284.8166667,297.0388889,2.265347731,0.001987341,6157.536
284.8166667,297.0388889,2.265347731,0.002081976,6165.5328
284.8166667,297.0388889,2.265347731,0.002271247,6181.5264
284.8166667,303.15,1.510231821,0.001230259,7246.6128
284.8166667,303.15,1.510231821,0.001514165,7309.7052
284.8166667,303.15,1.510231821,0.001703435,7345.758
284.8166667,303.15,1.510231821,0.001892706,7363.7844
284.8166667,303.15,1.510231821,0.001987341,7381.8108
284.8166667,303.15,1.510231821,0.002081976,7390.824
284.8166667,303.15,1.510231821,0.002271247,7410.335775
284.8166667,303.15,1.604621309,0.001230259,7098.0336
284.8166667,303.15,1.604621309,0.001514165,7159.8324
284.8166667,303.15,1.604621309,0.001703435,7195.146
284.8166667,303.15,1.604621309,0.001892706,7212.8028
284.8166667,303.15,1.604621309,0.001987341,7230.4596
284.8166667,303.15,1.604621309,0.002081976,7239.288
284.8166667,303.15,1.604621309,0.002271247,7258.39972
284.8166667,303.15,1.699010798,0.001230259,6969.7152
284.8166667,303.15,1.699010798,0.001514165,7030.3968
284.8166667,303.15,1.699010798,0.001703435,7065.072
284.8166667,303.15,1.699010798,0.001892706,7082.4096
284.8166667,303.15,1.699010798,0.001987341,7099.7472
284.8166667,303.15,1.699010798,0.002081976,7108.416
284.8166667,303.15,1.699010798,0.002271247,7127.182218
284.8166667,303.15,1.793400287,0.001230259,6854.904
