Twb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Tot Clg Cap [W]
282.8166667,280.3722222,0.453069546,0.000372232,10880.88385
282.8166667,280.3722222,0.453069546,0.000454249,10945.90906
282.8166667,280.3722222,0.453069546,0.000511031,10989.25919
282.8166667,280.3722222,0.453069546,0.000567812,11010.93426
282.8166667,280.3722222,0.453069546,0.000599357,11010.93426
282.8166667,280.3722222,0.453069546,0.000624593,11032.60933
282.8166667,280.3722222,0.453069546,0.000681374,11054.28439
282.8166667,280.3722222,0.481386393,0.000372232,11005.17225
282.8166667,280.3722222,0.481386393,0.000454249,11070.94021
282.8166667,280.3722222,0.481386393,0.000511031,11114.78552
282.8166667,280.3722222,0.481386393,0.000567812,11136.70817
282.8166667,280.3722222,0.481386393,0.000599357,11136.70817
282.8166667,280.3722222,0.481386393,0.000624593,11158.63082
282.8166667,280.3722222,0.481386393,0.000681374,11180.55348
282.8166667,280.3722222,0.509703239,0.000372232,11118.16169
282.8166667,280.3722222,0.509703239,0.000454249,11184.60489
282.8166667,280.3722222,0.509703239,0.000511031,11228.90036
282.8166667,280.3722222,0.509703239,0.000567812,11251.04809
282.8166667,280.3722222,0.509703239,0.000599357,11251.04809
282.8166667,280.3722222,0.509703239,0.000624593,11273.19582
282.8166667,280.3722222,0.509703239,0.000681374,11295.34355
282.8166667,280.3722222,0.538020086,0.000372232,11208.55325
282.8166667,280.3722222,0.538020086,0.000454249,11275.53664
282.8166667,280.3722222,0.538020086,0.000511031,11320.19223
282.8166667,280.3722222,0.538020086,0.000567812,11342.52002
282.8166667,280.3722222,0.538020086,0.000599357,11342.52002
282.8166667,280.3722222,0.538020086,0.000624593,11364.84782
282.8166667,280.3722222,0.538020086,0.000681374,11387.17562
282.8166667,280.3722222,0.566336933,0.000372232,11298.94481
282.8166667,280.3722222,0.566336933,0.000454249,11366.46839
282.8166667,280.3722222,0.566336933,0.000511031,11411.4841
282.8166667,280.3722222,0.566336933,0.000567812,11433.99196
