Tdb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Htg Cap [W]
284.8166667,269.2611111,1.510231821,0.001230259,21721.61495
284.8166667,269.2611111,1.510231821,0.001514165,22230.01672
284.8166667,269.2611111,1.510231821,0.001703435,22380.74891
284.8166667,269.2611111,1.510231821,0.001892706,22538.57771
284.8166667,269.2611111,1.510231821,0.001987341,22627.49273
284.8166667,269.2611111,1.510231821,0.002081976,22709.18043
284.8166667,269.2611111,1.510231821,0.002271247,22845.3266
284.8166667,269.2611111,1.604621309,0.001230259,21854.87639
284.8166667,269.2611111,1.604621309,0.001514165,22366.39719
284.8166667,269.2611111,1.604621309,0.001703435,22518.05412
284.8166667,269.2611111,1.604621309,0.001892706,22676.8512
284.8166667,269.2611111,1.604621309,0.001987341,22766.3117
284.8166667,269.2611111,1.604621309,0.002081976,22848.50056
284.8166667,269.2611111,1.604621309,0.002271247,22985.48197
284.8166667,269.2611111,1.699010798,0.001230259,21988.13783
284.8166667,269.2611111,1.699010798,0.001514165,22502.77766
284.8166667,269.2611111,1.699010798,0.001703435,22655.35932
284.8166667,269.2611111,1.699010798,0.001892706,22815.12468
284.8166667,269.2611111,1.699010798,0.001987341,22905.13068
284.8166667,269.2611111,1.699010798,0.002081976,22987.82068
284.8166667,269.2611111,1.699010798,0.002271247,23125.63735
284.8166667,269.2611111,1.793400287,0.001230259,22121.39927
284.8166667,269.2611111,1.793400287,0.001514165,22639.15814
284.8166667,269.2611111,1.793400287,0.001703435,22792.66453
284.8166667,269.2611111,1.793400287,0.001892706,22953.39816
284.8166667,269.2611111,1.793400287,0.001987341,23043.94965
284.8166667,269.2611111,1.793400287,0.002081976,23127.14081
284.8166667,269.2611111,1.793400287,0.002271247,23265.79273
284.8166667,269.2611111,1.887789776,0.001230259,22210.24023
284.8166667,269.2611111,1.887789776,0.001514165,22730.07845
284.8166667,269.2611111,1.887789776,0.001703435,22884.20134
284.8166667,269.2611111,1.887789776,0.001892706,23045.58048
284.8166667,269.2611111,1.887789776,0.001987341,23136.49563
284.8166667,269.2611111,1.887789776,0.002081976,23220.02089
284.8166667,269.2611111,1.887789776,0.002271247,23359.22965
284.8166667,269.2611111,2.076568753,0.001230259,22365.71191
284.8166667,269.2611111,2.076568753,0.001514165,22889.189
284.8166667,269.2611111,2.076568753,0.001703435,23044.39075
284.8166667,269.2611111,2.076568753,0.001892706,23206.89955
284.8166667,269.2611111,2.076568753,0.001987341,23298.4511
284.8166667,269.2611111,2.076568753,0.002081976,23382.56104
