Twb [K],Twat [K],Vdot air [m3/s],Vdot water [m3/s],Clg Pow [W]
282.8166667,280.3722222,0.453069546,0.000372232,1672.923
282.8166667,280.3722222,0.453069546,0.000454249,1591.317
282.8166667,280.3722222,0.453069546,0.000511031,1550.514
282.8166667,280.3722222,0.453069546,0.000567812,1519.91175
282.8166667,280.3722222,0.453069546,0.000599357,1509.711
282.8166667,280.3722222,0.453069546,0.000624593,1499.51025
282.8166667,280.3722222,0.453069546,0.000681374,1479.10875
282.8166667,280.3722222,0.481386393,0.000372232,1669.5938
282.8166667,280.3722222,0.481386393,0.000454249,1588.1502
282.8166667,280.3722222,0.481386393,0.000511031,1547.4284
282.8166667,280.3722222,0.481386393,0.000567812,1516.88705
282.8166667,280.3722222,0.481386393,0.000599357,1506.7066
282.8166667,280.3722222,0.481386393,0.000624593,1496.52615
282.8166667,280.3722222,0.481386393,0.000681374,1476.16525
282.8166667,280.3722222,0.509703239,0.000372232,1667.9292
282.8166667,280.3722222,0.509703239,0.000454249,1586.5668
282.8166667,280.3722222,0.509703239,0.000511031,1545.8856
282.8166667,280.3722222,0.509703239,0.000567812,1515.3747
282.8166667,280.3722222,0.509703239,0.000599357,1505.2044
282.8166667,280.3722222,0.509703239,0.000624593,1495.0341
282.8166667,280.3722222,0.509703239,0.000681374,1474.6935
282.8166667,280.3722222,0.538020086,0.000372232,1666.2646
282.8166667,280.3722222,0.538020086,0.000454249,1584.9834
282.8166667,280.3722222,0.538020086,0.000511031,1544.3428
282.8166667,280.3722222,0.538020086,0.000567812,1513.86235
282.8166667,280.3722222,0.538020086,0.000599357,1503.7022
282.8166667,280.3722222,0.538020086,0.000624593,1493.54205
282.8166667,280.3722222,0.538020086,0.000681374,1473.22175
282.8166667,280.3722222,0.566336933,0.000372232,1664.6
282.8166667,280.3722222,0.566336933,0.000454249,1583.4
282.8166667,280.3722222,0.566336933,0.000511031,1542.8
282.8166667,280.3722222,0.566336933,0.000567812,1512.35
282.8166667,280.3722222,0.566336933,0.000599357,1502.2
282.8166667,280.3722222,0.566336933,0.000624593,1492.05
282.8166667,280.3722222,0.566336933,0.000681374,1471.75
282.8166667,280.3722222,0.622970626,0.000372232,1661.2708
